scenario,variant,period,start,end,bars,trades,total_return,benchmark_return,excess_vs_benchmark,annualized_return,max_drawdown,calmar,sharpe_daily,sortino_daily,win_rate,profit_factor,average_trade_return,median_trade_return,average_r_multiple,fees,average_exposure,worst_trade,best_trade
base,combined,development,2024-01-01T00:00:00+00:00,2024-12-31T23:55:00+00:00,105408,241,-0.23804960626609606,0.8330236382867118,-1.071073244552808,-0.23748536181948365,-0.25040943551263284,-0.9483882319901752,-5.585602020315998,-4.029282788578268,0.2821576763485477,0.4081832434332,-0.002235240942253052,-0.004593464193756726,-0.5697775265140724,1263.6716267296422,0.003910657895632503,-0.012810556002596701,0.01487108531297304
base,combined,validation,2025-01-01T00:00:00+00:00,2025-06-30T23:55:00+00:00,52128,242,-0.2262990468477235,-0.05596282573925415,-0.17033622110846935,-0.4039329721822916,-0.2347569386967555,-1.7206433787419049,-7.333688301408326,-6.927689366467141,0.30991735537190085,0.4599292699064784,-0.002181522454316394,-0.00454419773430129,-0.5048754038695925,1269.522249075707,0.008527466658660082,-0.02335967569950584,0.021258151834071377
base,combined,test,2025-07-01T00:00:00+00:00,2026-06-30T23:55:00+00:00,105120,285,-0.24362777156072024,-0.4104052075242428,0.16677743596352257,-0.2436297806668517,-0.2514328802413158,-0.9689654767229529,-5.148685398606011,-4.181097801635627,0.3087719298245614,0.4492486386450326,-0.002013073299871728,-0.004339913140333587,-0.5100748494034918,1495.287903439466,0.005405979701060265,-0.025555288587552044,0.015138367230557614
base,mean_reversion_only,development,2024-01-01T00:00:00+00:00,2024-12-31T23:55:00+00:00,105408,107,-0.08664640601819118,0.8330236382867118,-0.919670044304903,-0.08642098862433234,-0.09422100185758375,-0.9172157684648563,-2.6557574065510385,-2.0282463148132406,0.3644859813084112,0.49409590380924445,-0.0015102448227369556,-0.003527604664196936,-0.3752758576247536,579.4998947139018,0.0021374296008723646,-0.0128105560025967,0.01487108531297304
base,mean_reversion_only,validation,2025-01-01T00:00:00+00:00,2025-06-30T23:55:00+00:00,52128,46,-0.05663554891433198,-0.05596282573925415,-0.0006727231750778273,-0.11092508470258589,-0.062932093435066,-1.7626155217137272,-3.6229115714081432,-3.018788456358256,0.32608695652173914,0.36654668239201266,-0.0029853520532598407,-0.0050077737615510775,-0.5018553951924372,252.11186758576088,0.0018534891780565125,-0.02335967569950584,0.014579551941773206
base,mean_reversion_only,test,2025-07-01T00:00:00+00:00,2026-06-30T23:55:00+00:00,105120,95,-0.03643749003499941,-0.4104052075242428,0.3739677174892434,-0.036437830272494476,-0.0500236452930819,-0.7284121350815213,-1.2181290329142305,-1.1069483068389256,0.4842105263157895,0.7272775023061603,-0.0009255237630818692,-0.0008556518792100213,-0.15637125462686371,545.0098683254676,0.002088393036866497,-0.025555288587552048,0.015257097609555854
base,momentum_only,development,2024-01-01T00:00:00+00:00,2024-12-31T23:55:00+00:00,105408,258,-0.23922770512229996,0.8330236382867118,-1.0722513434090117,-0.23866112548667195,-0.2502584324363085,-0.9536586766058798,-4.620699144148724,-3.8562737561143994,0.26744186046511625,0.435108476198776,-0.0020948059822923646,-0.004536739585770642,-0.6284855206290195,1361.521593169992,0.003803440191851818,-0.010103212223031104,0.020646171024957635
base,momentum_only,validation,2025-01-01T00:00:00+00:00,2025-06-30T23:55:00+00:00,52128,196,-0.17931157658339247,-0.05596282573925415,-0.12334875084413832,-0.3286780682607081,-0.18633045797218595,-1.7639524522060197,-6.336021838898398,-5.191497660963258,0.30612244897959184,0.48336193480630224,-0.00198620600843322,-0.0044856791517665,-0.5046204091326896,1070.3912230660494,0.006654832169489225,-0.012264681843705416,0.02125815183407138
base,momentum_only,test,2025-07-01T00:00:00+00:00,2026-06-30T23:55:00+00:00,105120,247,-0.2424654256488037,-0.4104052075242428,0.16793978187543912,-0.242467426776513,-0.25028252873615553,-0.9687748801360357,-5.299014453092661,-3.8790797285640233,0.27125506072874495,0.40270478100979734,-0.0022394224928146546,-0.004498008917206495,-0.5921048635496448,1320.5835993359294,0.004578666868963959,-0.011312954926914079,0.015138367230557614
low_cost,combined,test,2025-07-01T00:00:00+00:00,2026-06-30T23:55:00+00:00,105120,416,-0.12941379072819603,-0.4104052075242428,0.2809914167960468,-0.1294149385049922,-0.15170776862065527,-0.8530541295389676,-2.1498178292873615,-2.326238172365301,0.38461538461538464,0.7605993431071745,-0.0006887406874298562,-0.0033903754030637735,-0.17883628926058037,1149.326242261795,0.008440575106886549,-0.024772246566704615,0.016068723819738916
stress,combined,test,2025-07-01T00:00:00+00:00,2026-06-30T23:55:00+00:00,105120,128,-0.24646398299802663,-0.4104052075242428,0.16394122452621618,-0.24646601150073766,-0.25040701108306784,-0.9842616244438027,-5.862264763582678,-3.725602578899468,0.1875,0.14904544701330344,-0.004569309181909197,-0.006111714318197105,-1.167208603058282,1344.749855922474,0.0021658854680078987,-0.027121041375898467,0.008982630797124894
