model,label,period,start,end_exclusive,return_pct,cagr_pct,max_mark_close_drawdown_pct,completed_episodes,fees,funding_cashflow
old_pair_1x,Исходная пара · 1×,full,2021-01-01,2026-09-01,55.6302389902183,8.121291975103805,-26.953809533374507,106,1393.1679162740486,-56.59355853504917
old_pair_1x,Исходная пара · 1×,later,2025-01-01,2026-09-01,28.901821218225933,16.476158371770634,-8.184635132757755,33,387.5634931761355,5.881057127639935
old_pair_1x,Исходная пара · 1×,validation,2024-01-01,2025-01-01,-9.508418638428918,-9.489889450183531,-16.66531129825426,16,144.076176051256,6.874659570342228
old_pair_15x,"Исходная пара · 1,5×",full,2021-01-01,2026-09-01,87.51496290609077,11.73784130781732,-37.819932925862545,106,2352.0545766026435,-76.08523096730737
old_pair_15x,"Исходная пара · 1,5×",later,2025-01-01,2026-09-01,45.5499999550226,25.29333702751,-12.121310098934035,33,631.8614885294666,10.523164764708044
old_pair_15x,"Исходная пара · 1,5×",validation,2024-01-01,2025-01-01,-14.30709149310374,-14.279974509566063,-24.17022986207833,16,204.61393969509652,10.029496371708197
old_pair_2x,Исходная пара · 2×,full,2021-01-01,2026-09-01,28.233147076631006,4.487848159615826,-48.95197523995467,106,2389.9977651080985,-131.02594598382674
old_pair_2x,Исходная пара · 2×,later,2025-01-01,2026-09-01,36.04984085788041,20.314446375842053,-17.484913486809983,33,767.0596810985795,16.12733819958191
old_pair_2x,Исходная пара · 2×,validation,2024-01-01,2025-01-01,-18.729803755855702,-18.695258110075365,-30.899844494975028,16,259.0151837393265,13.524359144755511
pair_risk30_cap15,Пара · переменный размер,full,2021-01-01,2026-09-01,29.10337800420799,4.612678324971431,-22.79474785805695,167,1396.6371332356562,-28.184473551596284
pair_risk30_cap15,Пара · переменный размер,later,2025-01-01,2026-09-01,18.314528384184147,10.631016790931081,-6.827929616145367,54,439.48571430702754,5.876269116424345
pair_risk30_cap15,Пара · переменный размер,validation,2024-01-01,2025-01-01,-6.745173718577558,-6.731827697544313,-11.646139198856787,26,167.307344387763,4.206696627992909
