audit,name,cost_bps,initial_margin_ratio,maintenance_margin_ratio,operational_reserve,funding_multiplier,execution_delay,intrabar_widen,financing_rate,apply_cash_credit,total_return,cagr,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,average_perp_gross,costs,funding_pnl,liquidations,min_margin_buffer,average_regime_overlay_gross,prefinal_cagr,final_2026h1_return
stress,stress,40.0,0.25,0.1,0.2,1.0,0,0.0,0.06,True,3.16992415762075,0.2965183360464523,-0.24756859644813833,1.2409892995273586,12.721768549738957,0.4339934960909109,1.0527108207759766,0.18322657532711914,7148.586318604739,-202.0598095771792,0,0.20160924193070207,0.029747097800673476,0.31542002580517914,0.05612087047743386
severe,severe,80.0,0.3,0.12,0.22,2.0,0,0.0,0.09,True,2.0796618975815995,0.2269895437979541,-0.28855439934734406,1.0007345121925508,12.73077943965029,0.4366376832901284,1.0677221226917755,0.18453164696445307,12199.81122169221,-316.09723790679107,0,0.22217791167392567,0.026405308384026556,0.24362202538116917,0.036216554981110205
extreme,extreme,120.0,0.4,0.15,0.25,3.0,0,0.0,0.12,True,1.268791431229991,0.16066272849210317,-0.33894629048270264,0.7656178168198247,12.55341600997528,0.4359666450310262,1.0614977890472945,0.18457191471797169,15496.116901250369,-304.2221741086568,0,0.25097914980968317,0.022782339256538046,0.17367028488842284,0.023635591362436426
catastrophic,catastrophic,200.0,0.5,0.2,0.28,4.0,2,0.2,0.16,True,-0.01567700749670098,-0.00286953460996342,-0.5448858385800206,0.10141836451287652,13.258683835001762,0.4478427883632144,1.0464914558350575,0.19559458067723426,17455.338439593244,-60.28231058852617,0,0.25098743848412586,0.01960496440454841,-0.0017246581061778343,-0.0039440179019426536
delay_1,delay_1,40.0,0.25,0.1,0.2,1.0,1,0.0,0.06,True,2.921941063622624,0.28214211964649816,-0.24193965310929477,1.1810472637296485,12.902530192788857,0.43398067091757814,1.049290197443614,0.18316567020692354,7115.107385083804,-202.24270435647816,0,0.20661510341865816,0.029680510764116947,0.2981895478841028,0.06531856378541212
delay_2,delay_2,40.0,0.25,0.1,0.2,1.0,2,0.0,0.06,True,2.342055126955785,0.24537154194518895,-0.30777043409685734,1.057208389933223,12.967603000217107,0.43791654134452157,1.0523054286252784,0.1853660569610291,6382.155893520289,-148.2536891387203,0,0.20766941145953377,0.028127459991055166,0.25849895410212387,0.06019084571778355
delay_3,delay_3,40.0,0.25,0.1,0.2,1.0,3,0.0,0.06,True,2.0838856635708445,0.2272954157402527,-0.28831540902036656,0.9862986920854275,13.041131893292215,0.4383181385215015,1.0494799428262378,0.1856389806434983,6090.2400149149635,-143.1350700916272,0,0.20664908529449416,0.02851065927306434,0.23718523333517694,0.06553534764499647
funding_x3,funding_x3,40.0,0.25,0.1,0.2,3.0,0,0.0,0.09,True,3.13136785497102,0.2943298682020219,-0.2425448482344823,1.2337036526838043,12.710128182588532,0.4339892333829313,1.0526374363717033,0.18320952425718334,7109.80469581383,-605.3411336370943,0,0.20160472149709396,0.02981252827660203,0.3128912437251652,0.056377955843514904
margin_harsh,margin_harsh,120.0,0.5,0.2,0.25,3.0,2,0.2,0.12,True,0.8414347417238168,0.11743495553402128,-0.389321254004248,0.600919781284549,12.671196818759928,0.4346895900873398,1.0522117496470549,0.1842217682182976,13679.789441051518,-87.25908326684336,0,0.22114002191437138,0.019984910783226624,0.12420617742843465,0.02780875782516401
no_cash_credit,no_cash_credit,40.0,0.25,0.1,0.2,1.0,0,0.0,0.06,False,3.0685290452438725,0.29072704144574457,-0.25351991818898545,1.2221465693827784,12.626353480648024,0.43365489970387294,1.0527136812432276,0.182875700851778,7012.953521389751,-199.99983587806827,0,0.201595512259092,0.02910750674495258,0.30998513166051245,0.05203108807467238
