audit,name,cost_bps,initial_margin_ratio,maintenance_margin_ratio,operational_reserve,funding_multiplier,execution_delay,intrabar_widen,financing_rate,apply_cash_credit,total_return,cagr,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,average_perp_gross,costs,funding_pnl,liquidations,min_margin_buffer,average_regime_overlay_gross,prefinal_cagr,final_2026h1_return,target_changes
stress,stress,40.0,0.25,0.1,0.2,1.0,0,0.0,0.06,True,3.3717845751233613,0.30771296359748646,-0.21823965731285888,1.3353794862480461,9.946932617894685,0.4160396123417536,1.0431405191032543,0.1671305073772643,5821.224239508665,60.281784537373085,0,0.2011201725868516,0.0,0.3295682646739695,0.0486769594155525,362
severe,severe,80.0,0.3,0.12,0.22,2.0,0,0.0,0.09,True,2.461527018137565,0.25335213191257,-0.253341950129619,1.1365985653541546,10.039685730472447,0.41781138926906713,1.028436648634514,0.16838825587675507,10324.390110503242,109.86907690572711,0,0.2215548648163198,0.0,0.2721290770767417,0.03915320568344138,357
extreme,extreme,120.0,0.4,0.15,0.25,3.0,0,0.0,0.12,True,1.703546845511021,0.19826535001436252,-0.28704129314478455,0.9359416047735446,10.260305613046015,0.4189096475233855,1.0522117943035254,0.17015767003349047,13923.495910507565,162.50585513144216,0,0.25097914980968317,0.0,0.21450435578997817,0.026868281711021735,357
catastrophic,catastrophic,200.0,0.5,0.2,0.28,4.0,2,0.2,0.16,True,0.25361991052260957,0.04196417817530351,-0.44953644098963763,0.29612599739333223,11.282676177687499,0.4355689893298356,1.0464914558350575,0.18531306233271438,16967.97267924534,198.35150996627158,0,0.25098743848412586,0.0,0.0456782411666119,0.004684208382611965,361
delay_1,delay_1,40.0,0.25,0.1,0.2,1.0,1,0.0,0.06,True,3.1656868724939935,0.2962786381143723,-0.21156481099613222,1.2850040342756457,10.094495790333093,0.4151498018556811,1.0230370098321264,0.1663598690992007,5879.522620444372,58.950251396824264,0,0.20628278621901658,0.0,0.3169052646685586,0.0527390349515251,364
delay_2,delay_2,40.0,0.25,0.1,0.2,1.0,2,0.0,0.06,True,2.5826664603777063,0.2612172420641945,-0.27445136411546156,1.1610747857109058,10.200389974133325,0.4183297034529873,1.028480791383407,0.1685550624169045,5266.755032517543,55.925433954036016,0,0.20700166196805872,0.0,0.27676593262357474,0.05711970887218221,361
delay_3,delay_3,40.0,0.25,0.1,0.2,1.0,3,0.0,0.06,True,2.2824614215960355,0.2413031573990687,-0.2511475277520183,1.0788546575155025,10.364146594446959,0.42100539828312566,1.0280539870241105,0.1701826136293701,5071.003524340904,50.66399754233757,0,0.2038383695600826,0.0,0.2553734194337287,0.053972615093078824,366
funding_x3,funding_x3,40.0,0.25,0.1,0.2,3.0,0,0.0,0.09,True,3.3900272933832145,0.30870367834693924,-0.21616647958620627,1.3392709549662158,9.947117013598891,0.41603966485466815,1.0430275392188055,0.16712986317067638,5834.926128740315,181.0901469694339,0,0.20111678623330806,0.0,0.33047440541162154,0.04938680196593315,362
margin_harsh,margin_harsh,120.0,0.5,0.2,0.25,3.0,2,0.2,0.12,True,1.175459161658913,0.15182947280229842,-0.3392416874071611,0.7547366501570266,10.586098092952836,0.42032619639546703,1.052211749647055,0.17183873175386188,12592.511527366842,160.52484416785137,0,0.22114002191437138,0.0,0.1612099402629208,0.031868560386919764,359
no_cash_credit,no_cash_credit,40.0,0.25,0.1,0.2,1.0,0,0.0,0.06,False,3.2424771357020097,0.30059196586718495,-0.22610144006215394,1.3102944841770914,9.950508294585568,0.4160812911844512,1.0431433599001894,0.16715444926781314,5745.795392205963,59.794669278034405,0,0.20110642964585293,0.0,0.32286605085877484,0.043740853206897023,363
