,equity
2021-01-01 00:00:00+00:00,10042.920375789792
2021-01-02 00:00:00+00:00,10700.74631569271
2021-01-03 00:00:00+00:00,11193.949647271324
2021-01-04 00:00:00+00:00,11091.064967195593
2021-01-05 00:00:00+00:00,11559.51679925114
2021-01-06 00:00:00+00:00,12288.855529708972
2021-01-07 00:00:00+00:00,12724.659461318435
2021-01-08 00:00:00+00:00,12915.625378695891
2021-01-09 00:00:00+00:00,12961.520354532537
2021-01-10 00:00:00+00:00,12566.345819007724
2021-01-11 00:00:00+00:00,11839.49410837439
2021-01-12 00:00:00+00:00,11567.38231300492
2021-01-13 00:00:00+00:00,12300.32701846417
2021-01-14 00:00:00+00:00,12705.758210757162
2021-01-15 00:00:00+00:00,12218.92101107398
2021-01-16 00:00:00+00:00,12211.051760212194
2021-01-17 00:00:00+00:00,12229.35166975878
2021-01-18 00:00:00+00:00,12374.713345247008
2021-01-19 00:00:00+00:00,12319.55625176919
2021-01-20 00:00:00+00:00,12277.673762474547
2021-01-21 00:00:00+00:00,11496.9124910046
2021-01-22 00:00:00+00:00,11896.924443833545
2021-01-23 00:00:00+00:00,11818.554459261602
2021-01-24 00:00:00+00:00,12008.703887485735
2021-01-25 00:00:00+00:00,11917.722161345271
2021-01-26 00:00:00+00:00,11972.275422843792
2021-01-27 00:00:00+00:00,11591.134636115949
2021-01-28 00:00:00+00:00,12379.82063233067
2021-01-29 00:00:00+00:00,12573.24170351883
2021-01-30 00:00:00+00:00,12570.42669432007
2021-01-31 00:00:00+00:00,12351.005360223233
2021-02-01 00:00:00+00:00,12715.32569417199
2021-02-02 00:00:00+00:00,13252.26315996935
2021-02-03 00:00:00+00:00,13858.158304054516
2021-02-04 00:00:00+00:00,13673.553183299542
2021-02-05 00:00:00+00:00,14299.519629107806
2021-02-06 00:00:00+00:00,14350.238397340028
2021-02-07 00:00:00+00:00,14193.013796386424
2021-02-08 00:00:00+00:00,14723.312611996873
2021-02-09 00:00:00+00:00,14894.57660007218
2021-02-10 00:00:00+00:00,15095.62678659849
2021-02-11 00:00:00+00:00,15039.96968247108
2021-02-12 00:00:00+00:00,15271.24927990886
2021-02-13 00:00:00+00:00,15238.960889385447
2021-02-14 00:00:00+00:00,15008.339417193807
2021-02-15 00:00:00+00:00,14966.185277059463
2021-02-16 00:00:00+00:00,14961.741299754
2021-02-17 00:00:00+00:00,15378.584405103737
2021-02-18 00:00:00+00:00,15649.996477149292
2021-02-19 00:00:00+00:00,16146.157197127555
2021-02-20 00:00:00+00:00,16217.3399652204
2021-02-21 00:00:00+00:00,16335.138081117158
2021-02-22 00:00:00+00:00,16069.914736223776
2021-02-23 00:00:00+00:00,15504.463423408262
2021-02-24 00:00:00+00:00,15780.285441776983
2021-02-25 00:00:00+00:00,15580.60224647835
2021-02-26 00:00:00+00:00,15737.208556769265
2021-02-27 00:00:00+00:00,15868.912523475725
2021-02-28 00:00:00+00:00,15753.756653725512
2021-03-01 00:00:00+00:00,16070.648949169565
2021-03-02 00:00:00+00:00,15830.978317406574
2021-03-03 00:00:00+00:00,15923.422938561504
2021-03-04 00:00:00+00:00,15724.460595854098
2021-03-05 00:00:00+00:00,15759.06125993119
2021-03-06 00:00:00+00:00,15877.194581222851
2021-03-07 00:00:00+00:00,16002.382429374144
2021-03-08 00:00:00+00:00,16109.687927470257
2021-03-09 00:00:00+00:00,16390.103825828926
2021-03-10 00:00:00+00:00,16187.266207967165
2021-03-11 00:00:00+00:00,16213.140532023846
2021-03-12 00:00:00+00:00,15980.74709312268
2021-03-13 00:00:00+00:00,16216.086271460275
2021-03-14 00:00:00+00:00,16059.30824485446
2021-03-15 00:00:00+00:00,15978.957888560604
2021-03-16 00:00:00+00:00,16320.249157422895
2021-03-17 00:00:00+00:00,16513.902599030345
2021-03-18 00:00:00+00:00,16294.504360085177
2021-03-19 00:00:00+00:00,16400.330834988665
2021-03-20 00:00:00+00:00,16295.90192444152
2021-03-21 00:00:00+00:00,16258.602222906648
