,equity,gross,turnover,min_margin_buffer,liquidated_notional,trading_costs,roll_costs,liquidation_penalty
2021-01-01 00:00:00+00:00,10042.920375789792,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-02 00:00:00+00:00,10700.74631569271,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-03 00:00:00+00:00,11193.949647271324,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-04 00:00:00+00:00,11091.064967195593,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-05 00:00:00+00:00,11559.51679925114,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-06 00:00:00+00:00,12288.855529708972,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-07 00:00:00+00:00,12724.659461318435,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-08 00:00:00+00:00,12915.625378695891,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-09 00:00:00+00:00,12961.520354532537,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-10 00:00:00+00:00,12566.345819007724,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-11 00:00:00+00:00,11839.49410837439,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-12 00:00:00+00:00,11567.38231300492,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-13 00:00:00+00:00,12300.32701846417,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-14 00:00:00+00:00,12705.758210757162,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-15 00:00:00+00:00,12218.92101107398,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-16 00:00:00+00:00,12211.051760212194,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-17 00:00:00+00:00,12229.35166975878,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-18 00:00:00+00:00,12374.713345247008,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-19 00:00:00+00:00,12319.55625176919,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-20 00:00:00+00:00,12277.673762474547,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-21 00:00:00+00:00,11496.9124910046,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-22 00:00:00+00:00,11896.924443833545,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-23 00:00:00+00:00,11818.554459261602,0.0,0.0,1.0,0.0,0.0,0.0,0.0
