symbol,group,raw_file,raw_bytes,raw_sha256,rows,start,end,status
6A=F,fx,6A%3DF.json,544346,6b5a0fc489c68b769cdd578529d44aa35b67dffe5cf35a6320611738d0364efe,4905,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
6B=F,fx,6B%3DF.json,541945,d21e4b1bf0b06adadca7e12bfeac147532e4e1dc082f990aed7173d3050ab661,4904,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
6C=F,fx,6C%3DF.json,542880,0db5f8ef8650353f6ef831872a61e54a1bf754093ee35ab3fd7500d15e10b976,4904,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
6E=F,fx,6E%3DF.json,544583,8d694b1023ff41b5be2db7cc2f644d70c76c3c562eb9a2503dc870458fbcaf72,4904,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
6J=F,fx,6J%3DF.json,595097,67e422adabd44b0a680bb3998f8a836af55bde84b44f4a5798461aef44b49276,4905,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
6S=F,fx,6S%3DF.json,544835,0bf603e55205614197a58216ba2464aa5c4bee11231f966d50ac9fe6267e326b,4905,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
CL=F,energy,CL%3DF.json,519129,aec94bfab505d59a84eb720914c158e52030adc2f1e002a1ce1734ea3b172a8f,4902,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
ES=F,equity,ES%3DF.json,276582,c9396b3b37785b1d7d712a56da6c7f1142028cd115f79863b04a5d50ea2f9eb3,4904,2007-01-03T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
GC=F,metals,GC%3DF.json,451759,6baa4c26b90ca67269964ae96121d3512ea6012fcbf02207a28ee0e11667dc82,4903,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
NG=F,energy,NG%3DF.json,536080,6bd164dcae6a4a2979d5598e1d22c150c8b7635d104e6edf850a386aed595c2f,4905,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
NQ=F,equity,NQ%3DF.json,280688,1c1b770f3bd088214b9869c697b53f00ff2546815dead286d659c9cba9de15f5,4904,2007-01-03T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
RTY=F,equity,RTY%3DF.json,220163,ce48dd59bd4277b65458e279627f765911400bdfa050708cd313e5ed19e18a98,2259,2017-07-10T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
SI=F,metals,SI%3DF.json,517798,83810c9448d5b996352e11e4a2a2c20d98dcf9d3e7cf1aca849aeaeabddbbe56,4903,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
ZB=F,rates,ZB%3DF.json,317356,1790f6ae5257cdff0391b28264588eeb7deb710d225fda0ec05e4bdadc16014e,4901,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
ZC=F,agri,ZC%3DF.json,244694,acfc2192e43aad023b80f40e3905f6f0ad89c5b54914d0c31f13c88d18348a14,4900,2007-01-03T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
ZN=F,rates,ZN%3DF.json,335905,43ff0e276d13a9e136d73db5d704f2680d371211cac4b2f394fd731c2ecc6a68,4894,2007-01-02T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
ZS=F,agri,ZS%3DF.json,257311,0969c8ff299c89d1a3c3ebad5a34d5dd0e8babf7fdff612d75696bb8f8309697,4902,2007-01-03T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
ZW=F,agri,ZW%3DF.json,241826,f11129c3b61528106b6bb879728450ed892517dea5036445ba22b04d7547271e,4902,2007-01-03T00:00:00+00:00,2026-06-30T00:00:00+00:00,ok
