date,symbol,group
2008-09-22T00:00:00+00:00,ES=F,equity
2009-03-23T00:00:00+00:00,ES=F,equity
2020-03-23T00:00:00+00:00,ES=F,equity
2020-06-22T00:00:00+00:00,ES=F,equity
2024-12-23T00:00:00+00:00,ES=F,equity
2018-12-24T00:00:00+00:00,NQ=F,equity
2020-03-23T00:00:00+00:00,NQ=F,equity
2020-06-22T00:00:00+00:00,NQ=F,equity
2024-12-23T00:00:00+00:00,NQ=F,equity
2025-03-24T00:00:00+00:00,NQ=F,equity
2020-03-23T00:00:00+00:00,RTY=F,equity
2020-06-22T00:00:00+00:00,RTY=F,equity
2024-12-23T00:00:00+00:00,RTY=F,equity
2026-03-23T00:00:00+00:00,RTY=F,equity
2008-12-22T00:00:00+00:00,ZN=F,rates
2009-09-22T00:00:00+00:00,ZN=F,rates
2013-06-20T00:00:00+00:00,ZN=F,rates
2023-03-23T00:00:00+00:00,ZN=F,rates
2009-09-22T00:00:00+00:00,ZB=F,rates
2013-06-20T00:00:00+00:00,ZB=F,rates
2015-03-23T00:00:00+00:00,ZB=F,rates
2020-03-13T00:00:00+00:00,ZB=F,rates
2020-03-18T00:00:00+00:00,ZB=F,rates
2020-03-20T00:00:00+00:00,ZB=F,rates
2023-03-23T00:00:00+00:00,ZB=F,rates
2008-09-19T00:00:00+00:00,GC=F,metals
2008-10-23T00:00:00+00:00,GC=F,metals
2009-03-19T00:00:00+00:00,GC=F,metals
2011-09-27T00:00:00+00:00,GC=F,metals
2013-09-19T00:00:00+00:00,GC=F,metals
2025-12-29T00:00:00+00:00,GC=F,metals
2026-01-28T00:00:00+00:00,GC=F,metals
2026-03-23T00:00:00+00:00,GC=F,metals
2007-06-26T00:00:00+00:00,SI=F,metals
2008-08-21T00:00:00+00:00,SI=F,metals
2008-09-18T00:00:00+00:00,SI=F,metals
2008-09-22T00:00:00+00:00,SI=F,metals
2008-10-29T00:00:00+00:00,SI=F,metals
2009-03-19T00:00:00+00:00,SI=F,metals
2009-06-22T00:00:00+00:00,SI=F,metals
2010-01-20T00:00:00+00:00,SI=F,metals
2010-11-18T00:00:00+00:00,SI=F,metals
2011-04-28T00:00:00+00:00,SI=F,metals
2013-06-26T00:00:00+00:00,SI=F,metals
2013-09-19T00:00:00+00:00,SI=F,metals
2014-10-30T00:00:00+00:00,SI=F,metals
2015-01-29T00:00:00+00:00,SI=F,metals
2015-08-24T00:00:00+00:00,SI=F,metals
2016-04-19T00:00:00+00:00,SI=F,metals
2020-02-25T00:00:00+00:00,SI=F,metals
2020-03-23T00:00:00+00:00,SI=F,metals
2020-07-22T00:00:00+00:00,SI=F,metals
2020-07-27T00:00:00+00:00,SI=F,metals
2020-07-28T00:00:00+00:00,SI=F,metals
2020-09-24T00:00:00+00:00,SI=F,metals
2020-12-28T00:00:00+00:00,SI=F,metals
2021-11-23T00:00:00+00:00,SI=F,metals
2022-03-29T00:00:00+00:00,SI=F,metals
2023-06-20T00:00:00+00:00,SI=F,metals
2023-08-23T00:00:00+00:00,SI=F,metals
2024-04-22T00:00:00+00:00,SI=F,metals
2024-05-28T00:00:00+00:00,SI=F,metals
2024-10-18T00:00:00+00:00,SI=F,metals
2025-12-26T00:00:00+00:00,SI=F,metals
2026-01-20T00:00:00+00:00,SI=F,metals
2026-01-27T00:00:00+00:00,SI=F,metals
2026-01-28T00:00:00+00:00,SI=F,metals
2008-09-23T00:00:00+00:00,CL=F,energy
2008-11-20T00:00:00+00:00,CL=F,energy
2008-12-22T00:00:00+00:00,CL=F,energy
2016-01-21T00:00:00+00:00,CL=F,energy
2020-03-19T00:00:00+00:00,CL=F,energy
2020-04-29T00:00:00+00:00,CL=F,energy
2007-09-27T00:00:00+00:00,NG=F,energy
2007-10-30T00:00:00+00:00,NG=F,energy
2008-10-30T00:00:00+00:00,NG=F,energy
2009-08-28T00:00:00+00:00,NG=F,energy
2009-09-29T00:00:00+00:00,NG=F,energy
2009-10-29T00:00:00+00:00,NG=F,energy
2009-11-25T00:00:00+00:00,NG=F,energy
2010-10-28T00:00:00+00:00,NG=F,energy
2011-10-28T00:00:00+00:00,NG=F,energy
2012-02-28T00:00:00+00:00,NG=F,energy
2012-10-31T00:00:00+00:00,NG=F,energy
2014-02-27T00:00:00+00:00,NG=F,energy
2015-10-29T00:00:00+00:00,NG=F,energy
2016-04-28T00:00:00+00:00,NG=F,energy
2016-05-27T00:00:00+00:00,NG=F,energy
2016-10-28T00:00:00+00:00,NG=F,energy
2017-10-30T00:00:00+00:00,NG=F,energy
2018-01-30T00:00:00+00:00,NG=F,energy
2018-11-19T00:00:00+00:00,NG=F,energy
2019-01-28T00:00:00+00:00,NG=F,energy
2020-04-29T00:00:00+00:00,NG=F,energy
2020-05-28T00:00:00+00:00,NG=F,energy
2020-09-29T00:00:00+00:00,NG=F,energy
2020-10-29T00:00:00+00:00,NG=F,energy
2020-12-28T00:00:00+00:00,NG=F,energy
2022-01-28T00:00:00+00:00,NG=F,energy
2022-10-28T00:00:00+00:00,NG=F,energy
2022-11-29T00:00:00+00:00,NG=F,energy
2022-12-19T00:00:00+00:00,NG=F,energy
2023-01-23T00:00:00+00:00,NG=F,energy
2023-01-30T00:00:00+00:00,NG=F,energy
2023-02-27T00:00:00+00:00,NG=F,energy
2023-03-30T00:00:00+00:00,NG=F,energy
2023-04-27T00:00:00+00:00,NG=F,energy
2023-05-30T00:00:00+00:00,NG=F,energy
2023-10-30T00:00:00+00:00,NG=F,energy
2023-12-28T00:00:00+00:00,NG=F,energy
2024-01-30T00:00:00+00:00,NG=F,energy
2024-02-21T00:00:00+00:00,NG=F,energy
2024-02-28T00:00:00+00:00,NG=F,energy
2024-03-27T00:00:00+00:00,NG=F,energy
2024-04-29T00:00:00+00:00,NG=F,energy
2024-05-30T00:00:00+00:00,NG=F,energy
2024-07-30T00:00:00+00:00,NG=F,energy
2024-08-29T00:00:00+00:00,NG=F,energy
2024-10-30T00:00:00+00:00,NG=F,energy
2024-11-25T00:00:00+00:00,NG=F,energy
2025-01-27T00:00:00+00:00,NG=F,energy
