Trade Date,Expiry,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Source URL
2004-03-26,2004-05-19,K (May 04),21.240000000000002,21.25,20.27,20.27,20.32,0.0,216,0,144,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_K04_VX.csv
2004-03-26,2004-06-16,M (Jun 04),20.330000000000002,20.37,20.1,20.200000000000003,20.16,0.0,26,0,26,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_M04_VX.csv
2004-03-26,2004-08-18,Q (Aug 04),20.040000000000003,20.130000000000003,20.0,20.060000000000002,20.11,0.0,37,0,37,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_Q04_VX.csv
2004-03-26,2004-11-17,X (Nov 04),21.17,21.37,20.880000000000003,20.89,20.94,0.0,182,0,161,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_X04_VX.csv
2004-03-29,2004-05-19,K (May 04),19.900000000000002,19.990000000000002,19.75,19.77,19.8,0.0,52,0,113,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_K04_VX.csv
2004-03-29,2004-06-16,M (Jun 04),19.85,19.85,19.730000000000004,19.76,19.77,0.0,32,0,45,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_M04_VX.csv
2004-03-29,2004-08-18,Q (Aug 04),19.76,19.76,19.76,19.76,19.680000000000003,0.0,1,0,38,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_Q04_VX.csv
2004-03-29,2004-11-17,X (Nov 04),20.830000000000002,20.97,20.830000000000002,20.97,20.980000000000004,0.0,32,0,153,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_X04_VX.csv
2004-03-30,2004-05-19,K (May 04),19.86,20.040000000000003,19.61,19.61,19.62,-0.18000000000000002,93,0,159,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_K04_VX.csv
2004-03-30,2004-06-16,M (Jun 04),19.85,19.880000000000003,19.730000000000004,19.730000000000004,19.790000000000003,0.020000000000000004,29,0,44,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_M04_VX.csv
2004-03-30,2004-08-18,Q (Aug 04),19.72,19.97,19.72,19.92,19.91,0.22999999999999998,56,0,90,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_Q04_VX.csv
2004-03-30,2004-11-17,X (Nov 04),21.060000000000002,21.060000000000002,21.0,21.0,21.02,0.04000000000000001,13,0,155,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_X04_VX.csv
2004-03-31,2004-05-19,K (May 04),19.67,19.810000000000002,19.67,19.72,19.75,0.13,562,0,684,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_K04_VX.csv
2004-03-31,2004-06-16,M (Jun 04),19.980000000000004,19.980000000000004,19.900000000000002,19.900000000000002,19.85,0.06,3,0,41,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_M04_VX.csv
2004-03-31,2004-08-18,Q (Aug 04),20.060000000000002,20.180000000000003,20.060000000000002,20.180000000000003,20.150000000000002,0.24,29,0,113,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_Q04_VX.csv
2004-03-31,2004-11-17,X (Nov 04),21.07,21.130000000000003,20.990000000000002,21.130000000000003,21.080000000000002,0.06,6,0,169,https://cdn.cboe.com/resources/futures/archive/volume-and-price/CFE_X04_VX.csv
