,front_settle,second_settle,curve,front_mom5,front_mom20,spot,spot_ret5,spot_ret20,spot_ema10,spot_ema20,spot_ema60,spot_percentile_252,front_expiry,second_expiry
2004-03-26,20.32,20.16,0.007936507936507908,,,17.33,,,,,,,2004-05-19,2004-06-16
2004-03-29,19.8,19.77,0.0015174506828528056,,,16.5,,,,,,,2004-05-19,2004-06-16
2004-03-30,19.62,19.790000000000003,-0.008590197069226924,,,16.28,,,,,,,2004-05-19,2004-06-16
2004-03-31,19.75,19.85,-0.005037783375314908,,,16.74,,,,,,,2004-05-19,2004-06-16
2004-04-01,19.62,19.61,0.0005099439061704292,,,16.65,,,,,,,2004-05-19,2004-06-16
2004-04-02,18.89,19.16,-0.014091858037578286,-0.07037401574803137,,15.64,-0.09751875360646267,,,,,,2004-05-19,2004-06-16
2004-04-05,18.53,18.62,-0.004833512352309333,-0.06414141414141394,,14.97,-0.09272727272727266,,,,,,2004-05-19,2004-06-16
2004-04-06,18.790000000000003,18.790000000000003,0.0,-0.04230377166156951,,15.32,-0.05896805896805901,,,,,,2004-05-19,2004-06-16
2004-04-07,19.09,19.12,-0.00156903765690386,-0.03341772151898703,,15.76,-0.05854241338112298,,,,,,2004-05-19,2004-06-16
2004-04-08,19.05,19.0,0.0026315789473685403,-0.029051987767583998,,16.26,-0.023423423423423295,,16.129871090329452,,,,2004-05-19,2004-06-16
2004-04-12,18.669999999999998,18.900000000000002,-0.012169312169312385,-0.011646373742720817,,15.28,-0.023017902813299296,,15.975349073905914,,,,2004-05-19,2004-06-16
2004-04-13,19.3,19.290000000000003,0.0005184033177811909,0.04155423637344868,,17.26,0.15297261189044753,,16.208921969559384,,,,2004-05-19,2004-06-16
2004-04-14,19.46,19.47,-0.0005136106831020726,0.0356572645023947,,15.62,0.01958224543080922,,16.101845247821313,,,,2004-05-19,2004-06-16
2004-04-15,19.35,19.47,-0.006163328197226425,0.013619696176008445,,15.74,-0.0012690355329948444,,16.036055202762892,,,,2004-05-19,2004-06-16
