name,family,threshold,budget,hold_days,band,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_no_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_prefinal_cagr,gate_stress_prefinal_drawdown,gate_stress_no_liquidations,gate_stress_positive_margin,eligible_before_2021,score
tail_t95_b15_h14,tail_long,0.95,0.15,14,0.0,0.03627279259764893,0.7060811953914585,-0.12201567989555884,0.5190567582864855,1.2723415773093936,0,0.8161417322834645,0.05382212160072242,0.100415697215817,0.1883958967966921,True,True,True,True,True,True,True,True,True,True,0.03363769667395844,-0.12561350666583304,0.0,0.7914173228346456,True,True,True,True,True,0.51787108776091
tail_t95_b10_h14,tail_long,0.95,0.1,14,0.0,0.024582641391518445,0.43922516370179543,-0.08272812515040628,0.5182922971607516,0.8562732003517618,0,0.8440944881889765,0.036586773686617224,0.06950436275054717,0.1233553821701221,True,True,True,True,True,True,True,True,True,True,0.02282885349588648,-0.08525329568930196,0.0,0.8209448818897638,True,True,True,True,True,0.5175307853650678
tail_t95_b05_h14,tail_long,0.95,0.05,14,0.0,0.012490857147942513,0.20455801730927492,-0.04206574411203012,0.5174322955337514,0.43220453262318687,0,0.8720472440944883,0.018632181221394095,0.03599382480424218,0.06055411359921825,False,True,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.5170590924473895
tail_t95_b15_h3,tail_long,0.95,0.15,3,0.0,0.029838678959895892,0.5539812625044833,-0.07820554983963557,0.4563780225384265,1.3478971460638047,0,0.8161417322834645,0.058593547557838965,0.09082217442042517,0.2085646460810784,True,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.4634736340777625
tail_t95_b10_h3,tail_long,0.95,0.1,3,0.0,0.020271335895325926,0.3510528704689022,-0.05258003640407849,0.4556030001508733,0.904136310920628,0,0.8440944881889765,0.039577469930480946,0.0628979078046259,0.13599941849296804,True,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.4608142906302796
tail_t95_b05_h3,tail_long,0.95,0.05,3,0.0,0.01032566256625711,0.1665102207476754,-0.026511141155844853,0.4547275284837716,0.45488254751071716,0,0.8720472440944882,0.020033689617220185,0.03260361716410931,0.0664919007217768,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.45757445756325626
tail_t95_b15_h7,tail_long,0.95,0.15,7,0.0,0.030318497226557106,0.564871860328823,-0.09562280655090072,0.4562270144340429,1.3849386523347158,0,0.8161417322834645,0.05343346615598388,0.07441948074428106,0.20856464608107816,True,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.4552032190883596
tail_t95_b10_h7,tail_long,0.95,0.1,7,0.0,0.020607889124311107,0.35775009910318634,-0.06475498328509655,0.45546866682487,0.9295048417520206,0,0.8440944881889764,0.03619784139766824,0.05231369797315777,0.13599941849296782,True,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.45501190501342376
tail_t95_b05_h7,tail_long,0.95,0.05,7,0.0,0.01050206969132339,0.16956764727855744,-0.032909154953310926,0.45461269821982625,0.4679044918660845,0,0.8720472440944884,0.018374975792496473,0.027497195879118808,0.06649190072177635,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.45448321520715673
tail_t90_b05_h3,tail_long,0.9,0.05,3,0.0,0.008593267758982392,0.1368787265306235,-0.041366442763167366,0.3566368198411726,0.6372961082965528,0,0.8720472440944882,0.030530452456633217,0.019907747769292383,0.03745146292308932,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.3467671728945882
