name,family,carry_budget,convex_budget,contango_threshold,crisis_threshold,spike_threshold,confirm_days,hold_days,worst_up_shock_return,worst_down_shock_return,worst_synthetic_overnight_return,max_synthetic_gain,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_synthetic_shock,gate_zero_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_cagr,gate_stress_drawdown,gate_stress_zero_liquidations,gate_stress_positive_margin,eligible_before_2021,score
switch_ca04_cv04_c06_s20_h7,carry_convex_switch,0.04,0.04,0.06,0.0,0.2,2,7,-0.01,-0.02,-0.02,0.04,0.004397102479333226,0.06799202060230258,-0.22690585512902894,0.08552682444968895,2.0779772832008834,0,0.8751881844317159,-0.04105580436816625,-0.08792963211659555,-0.03630653042937859,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.0449116709881679
switch_ca04_cv04_c02_s20_h7,carry_convex_switch,0.04,0.04,0.02,0.0,0.2,2,7,-0.01,-0.02,-0.02,0.04,0.004625494205741099,0.07163885561910588,-0.22769836641166996,0.08784819205532092,2.3311936883782582,0,0.8751881844317161,-0.041880204001282895,-0.08879434465381575,-0.03501567810133033,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.04506193962281444
switch_ca04_cv04_c04_s20_h7,carry_convex_switch,0.04,0.04,0.04,0.0,0.2,2,7,-0.01,-0.02,-0.02,0.04,0.004486986493875023,0.06942585530525114,-0.2284292085077021,0.08644056175136088,2.2525957400238434,0,0.8751881844317158,-0.04107436710739798,-0.08947189278167855,-0.03612169075033256,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.046326026914978564
defensive_ca02_cv06_c05_b03_h7,defensive_switch,0.02,0.06,0.05,0.03,0.15,2,7,-0.005,-0.03,-0.03,0.06,0.006808559152155391,0.10708815448652631,-0.2677490408106794,0.102775858522287,2.369255363345358,0,0.8664566929133858,-0.04273002938267478,-0.1182417850702262,-0.04390759669198496,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.048674097212195504
defensive_ca02_cv06_c03_b03_h7,defensive_switch,0.02,0.06,0.03,0.03,0.15,2,7,-0.005,-0.03,-0.03,0.06,0.006140199324325302,0.09612054903835232,-0.2684966150613358,0.09821081072590736,2.4493315287730537,0,0.8664566929133859,-0.04328771585299063,-0.11827698641581275,-0.04352352542787086,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.055750413443840484
defensive_ca04_cv06_c05_b03_h7,defensive_switch,0.04,0.06,0.05,0.03,0.15,2,7,-0.01,-0.03,-0.03,0.06,0.006671385058215851,0.10482884564933204,-0.27598949693544617,0.10186492181136964,2.848478222482432,0,0.8664566929133857,-0.04629744694716287,-0.12682668073955217,-0.04275191842410975,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.05877183876474607
carry_b04_c06_q3_h7,carry_only,0.04,0.0,0.06,0.0,0.15,3,7,-0.01,0.0,-0.01,0.003000000000000001,-0.00024655778016480223,-0.003690216392310819,-0.025052606365938423,-0.04115418442039701,0.8963992771499867,0,0.875188184431716,-0.006591172960660141,-0.013568884001478598,0.0007053425349838882,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.06563759593519569
switch_ca08_cv04_c06_s20_h7,carry_convex_switch,0.08,0.04,0.06,0.0,0.2,2,7,-0.02,-0.02,-0.02,0.04,0.0036472729901053658,0.056100422045799014,-0.24739198411663255,0.07799483009577156,2.932801753761786,0,0.8503763688634318,-0.0506219119367195,-0.10444010433448625,-0.0354926000126391,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.07273463351995185
defensive_ca04_cv06_c03_b03_h7,defensive_switch,0.04,0.06,0.03,0.03,0.15,2,7,-0.01,-0.03,-0.03,0.06,0.005341257383968623,0.08314319947355453,-0.2774689955885131,0.0927642584535134,3.0086783524237304,0,0.8664566929133857,-0.04740866196366722,-0.12689729368050107,-0.04198357453705137,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.07287450809704324
switch_ca08_cv04_c02_s20_h7,carry_convex_switch,0.08,0.04,0.02,0.0,0.2,2,7,-0.02,-0.02,-0.02,0.04,0.004100905859796722,0.06327976373735322,-0.24894802646598524,0.08258848931253308,3.439815144746303,0,0.8503763688634318,-0.052260671804704506,-0.10614322923807162,-0.03291099255497776,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.07308186364832912
