asset,direction,signal_time,entry_time,exit_time,entry_binance,entry_okx,exit_binance,exit_okx,entry_z,entry_spread_bps,exit_reason,holding_hours,pnl_before_exit_cost,entry_cost,exit_cost,funding_buffer_cost,forced_cost,equity_after,component
DOGE,1,2021-01-28 15:00:00+00:00,2021-01-28 16:00:00+00:00,2021-01-28 20:00:00+00:00,0.018092,0.018325,0.021825,0.021874,12.799119757683208,145.11330331188702,max_hold,4,31.64843922784837,4.0,4.01105937569114,4.998,0.0,10018.639379852159,basis_l168_z5_s60_h4_c1
DOGE,1,2021-01-29 01:00:00+00:00,2021-01-29 02:00:00+00:00,2021-01-29 06:00:00+00:00,0.036801,0.036999,0.068807,0.06792,6.070781442005353,66.10161418708256,max_hold,4,85.07264006997502,4.007455751940864,4.039881825668077,5.007315962050109,0.0,10090.657366382477,basis_l168_z5_s60_h4_c1
DOGE,1,2021-01-29 09:00:00+00:00,2021-01-29 10:00:00+00:00,2021-01-29 12:00:00+00:00,0.036998,0.037161,0.049931,0.049877,6.353396110053199,69.49148550878517,convergence,2,18.59149493463883,4.0362629465529904,4.042085039348225,5.043310551717962,0.0,10096.127202779497,basis_l168_z5_s60_h4_c1
DOGE,-1,2021-01-29 12:00:00+00:00,2021-01-29 13:00:00+00:00,2021-01-29 15:00:00+00:00,0.061838,0.06169,0.053548,0.053573,-5.099729416137247,-72.53758062780459,convergence,2,6.2639629083869295,4.038450881111799,4.039341085922709,5.046044375949193,0.0,10089.2673293449,basis_l168_z5_s60_h4_c1
DOGE,-1,2021-01-29 16:00:00+00:00,2021-01-29 17:00:00+00:00,2021-01-29 21:00:00+00:00,0.052165,0.051646,0.055062,0.054985,-7.093190190756502,-97.89263822090642,max_hold,4,22.985116503664898,4.035706931737961,4.0432866955667315,5.0426158112065815,0.0,10099.130836410055,basis_l168_z5_s60_h4_c1
DOGE,-1,2021-01-29 22:00:00+00:00,2021-01-29 23:00:00+00:00,2021-01-30 00:00:00+00:00,0.05168,0.051459,0.045873,0.045902,-5.382452766400357,-77.53106544978165,convergence,1,11.043188655238055,4.039652334564022,4.042453749092291,5.047545592037745,0.0,10097.044373389599,basis_l168_z5_s60_h4_c1
DOGE,1,2021-01-30 07:00:00+00:00,2021-01-30 08:00:00+00:00,2021-01-30 12:00:00+00:00,0.032062,0.032266,0.032681,0.03267,6.132120411826613,66.84205141874405,max_hold,4,17.1213307969431,4.0388177493558395,4.044050754574875,5.046502777820122,0.0,10101.03633290479,basis_l168_z5_s60_h4_c1
DOGE,-1,2021-01-31 21:00:00+00:00,2021-01-31 22:00:00+00:00,2021-02-01 02:00:00+00:00,0.036721,0.036143,0.038615,0.038688,-8.491597990054824,-153.93995597080104,max_hold,4,47.54833239275354,4.040414533161917,4.057817700305753,5.048497959185815,0.0,10135.43793510489,basis_l168_z5_s60_h4_c1
DOGE,1,2021-02-01 02:00:00+00:00,2021-02-01 03:00:00+00:00,2021-02-01 07:00:00+00:00,0.03774,0.038181,0.038522,0.038894,8.122581374203131,136.86224946983396,max_hold,4,5.183497166826271,4.054175174041956,4.05462690283907,5.065691879965424,0.0,10127.446938314872,basis_l168_z5_s60_h4_c1
DOGE,1,2021-02-01 07:00:00+00:00,2021-02-01 08:00:00+00:00,2021-02-01 11:00:00+00:00,0.039177,0.039621,0.039275,0.039203,6.383059918736595,127.13809866188332,convergence,3,33.031194831201084,4.050978775325949,4.062570861748299,5.0616979797697725,0.0,10147.302885529229,basis_l168_z5_s60_h4_c1
