policy,lookback_hours,entry_abs_z,entry_abs_spread_bps,max_hold_hours,stability_bars,eligible_before_final,all_prefinal_years_positive,score,prefinal_total_return,prefinal_cagr,prefinal_max_drawdown,prefinal_sharpe,prefinal_annual_turnover,prefinal_average_gross,prefinal_max_gross,prefinal_costs,prefinal_trade_count,prefinal_liquidations,prefinal_min_margin_buffer,prefinal_observations_per_year
basis_l168_z5_s60_h4_c1,168,5.0,60.0,4,1,False,True,0.07227454994181125,0.03493025881672729,0.00689140133949695,-0.005812854334559692,0.8608104713134542,5.800807338612144,0.0010610624315443593,0.5,389.6027147159814,29,0,0.5,8765.82
basis_l336_z5_s60_h4_c1,336,5.0,60.0,4,1,False,True,0.0691918323095077,0.03272415016870922,0.006461707134511885,-0.005812854334559692,0.8251473304811922,5.400751660087169,0.0009811975173420957,0.5,362.71603626607873,27,0,0.5,8765.82
basis_l168_z3_s60_h4_c1,168,3.0,60.0,4,1,False,True,0.06907491048730101,0.03405716590616925,0.006721432601541455,-0.005812854334559359,0.8291904573334722,6.8009465349245835,0.0011865644395764878,0.5,454.9994558361974,34,0,0.5,8765.82
basis_l168_z4_s60_h4_c1,168,4.0,60.0,4,1,False,True,0.06440273251711857,0.03140730064570074,0.0062048680376933785,-0.005812854334559359,0.7722445937727306,6.000835177874632,0.0011066995253742242,0.5,401.7483006183458,30,0,0.5,8765.82
basis_l336_z5_s45_h4_c1,336,5.0,45.0,4,1,False,False,0.06180606069776744,0.029943036352545915,0.0059189688751724034,-0.005812854334559359,0.7458602835531348,6.400890856399608,0.0011865644395764878,0.5,428.97939998511794,32,0,0.5,8765.82
basis_l336_z3_s60_h4_c1,336,3.0,60.0,4,1,False,True,0.05822914329640752,0.02824768477194839,0.005587543207093093,-0.007827553651595598,0.7065598370380318,6.20086301713712,0.0010838809784592916,0.5,413.5660426711594,31,0,0.5,8765.82
basis_l168_z5_s45_h4_c1,168,5.0,45.0,4,1,False,False,0.05525577231877945,0.028268076491238858,0.0055915321974580046,-0.005812854334559359,0.6693248112826053,6.600918695662095,0.0012436108068638188,0.5,441.17476584950003,33,0,0.5,8765.82
basis_l168_z4_s45_h4_c1,168,4.0,45.0,4,1,False,False,0.05459211224652733,0.02852801411327399,0.005642375169737424,-0.005812854334559359,0.6653942192075234,7.401030052712047,0.001403340635268346,0.5,494.13609741916616,37,0,0.5,8765.82
basis_l336_z4_s60_h4_c1,336,4.0,60.0,4,1,False,True,0.05180218955214353,0.02469976268428864,0.004892539892544123,-0.007827553651595598,0.6299097606850319,5.400751660087169,0.001004016064257028,0.5,360.3586273741296,27,0,0.5,8765.82
basis_l168_z3_s45_h4_c1,168,3.0,45.0,4,1,False,False,0.047683270914283295,0.02611742899389058,0.005170477460149536,-0.006473922220883277,0.5970103247407413,9.201280606074436,0.0016657539247900695,0.5,610.8882567362629,46,0,0.5,8765.82
basis_l336_z4_s45_h4_c1,336,4.0,45.0,4,1,False,False,0.04236802826063514,0.021138601070524787,0.004193004553945778,-0.0071585770207392985,0.5286419334528197,6.8009465349245835,0.00130065717415115,0.5,452.1533193652689,34,0,0.5,8765.82
