underlying,date,valid,http_status,checksum_status,checksum_valid,bytes,row_count,executable_quote_semantics,instrument_parseable_ratio,reason,archive_sha256
BTCUSDT,2023-07-15,True,200,200,True,430268,6112,False,1.0,ok,9d62ee94cb10b73164411a9e68a9cfb21be437307309e2f340019682dfb38f7c
BTCUSDT,2023-10-15,True,200,200,True,398052,5652,False,1.0,ok,d3560fc2e818681e577456970e1dab4225f0d82b16472bcab0cced2deb97a68e
BTCUSDT,2024-01-15,False,404,404,,341,,,,missing_archive_or_checksum,
BTCUSDT,2024-04-15,False,404,404,,361,,,,missing_archive_or_checksum,
BTCUSDT,2024-07-15,False,404,404,,341,,,,missing_archive_or_checksum,
BTCUSDT,2024-10-15,False,404,404,,341,,,,missing_archive_or_checksum,
BTCUSDT,2025-01-15,False,404,404,,341,,,,missing_archive_or_checksum,
BTCUSDT,2025-04-15,False,404,404,,341,,,,missing_archive_or_checksum,
BTCUSDT,2025-07-15,False,404,404,,361,,,,missing_archive_or_checksum,
BTCUSDT,2025-10-15,False,404,404,,361,,,,missing_archive_or_checksum,
BTCUSDT,2026-01-15,False,404,404,,341,,,,missing_archive_or_checksum,
BTCUSDT,2026-04-15,False,404,404,,361,,,,missing_archive_or_checksum,
ETHUSDT,2023-07-15,True,200,200,True,582928,7968,False,1.0,ok,5e3555369846f1f9e99898c0e55ef0d47d31ac82b84389fad063378b1ee434e0
ETHUSDT,2023-10-15,True,200,200,True,489059,6996,False,1.0,ok,f3df12f4d102c21c517634ea55fba207aaa718717f1ca826b7f67ae7426442cb
ETHUSDT,2024-01-15,False,404,404,,341,,,,missing_archive_or_checksum,
ETHUSDT,2024-04-15,False,404,404,,341,,,,missing_archive_or_checksum,
ETHUSDT,2024-07-15,False,404,404,,341,,,,missing_archive_or_checksum,
ETHUSDT,2024-10-15,False,404,404,,341,,,,missing_archive_or_checksum,
ETHUSDT,2025-01-15,False,404,404,,361,,,,missing_archive_or_checksum,
ETHUSDT,2025-04-15,False,404,404,,341,,,,missing_archive_or_checksum,
ETHUSDT,2025-07-15,False,404,404,,341,,,,missing_archive_or_checksum,
ETHUSDT,2025-10-15,False,404,404,,361,,,,missing_archive_or_checksum,
ETHUSDT,2026-01-15,False,404,404,,361,,,,missing_archive_or_checksum,
ETHUSDT,2026-04-15,False,404,404,,361,,,,missing_archive_or_checksum,
