symbol,dataset,date,valid,http_status,checksum_status,checksum_valid,bytes,row_count,schema_executable,native_median_interval_ms,reason,archive_sha256
BTCUSD_PERP,book_depth,2023-01-15,True,200,200,True,782,50,True,30000,ok,c8a77286c32f048fdd6277ee97fa8fc4aa758148749c999af76a2523c2cde930
BTCUSD_PERP,book_depth,2024-07-15,True,200,200,True,265903,28800,True,30000,ok,91ce1d59e8782332471c6c716be088840d5c61ab92d122c3e2343f8982e52502
BTCUSD_PERP,book_depth,2025-07-15,True,200,200,True,278320,28800,True,30000,ok,d2e28cc40ea7f98a53e356fb939db5b7f5202791a8c08471c10247db4b24c0f9
BTCUSD_PERP,book_depth,2026-04-15,True,200,200,True,279268,28800,True,30000,ok,a7eb22a1f7c42080c58829f83ffeacfd01e932142720ae7d8da877c04b5f87b9
BTCUSD_PERP,book_ticker,2023-01-15,False,404,404,,373,,,,missing_archive_or_checksum,
BTCUSD_PERP,book_ticker,2024-07-15,True,200,200,True,53063730,4385466,True,4,ok,af51045fdb0bdf5472c15b039a86539f7a19acfaed6d333fa53c6af335f80deb
BTCUSD_PERP,book_ticker,2025-07-15,False,404,404,,353,,,,missing_archive_or_checksum,
BTCUSD_PERP,book_ticker,2026-04-15,False,404,404,,373,,,,missing_archive_or_checksum,
BTCUSD_PERP,mark_price_1m,2023-01-15,True,200,200,True,38710,1440,True,60000,ok,223f84b229977ff52f5e120e9546b68fc105d9cb54683a6ce21e43d800ce8b52
BTCUSD_PERP,mark_price_1m,2024-07-15,True,200,200,True,38909,1440,True,60000,ok,67c3aaad2e7d01720b0c95ed0356517c60dda7eacdb9780010f86a30840debfa
BTCUSD_PERP,mark_price_1m,2025-07-15,True,200,200,True,37425,1440,True,60000,ok,1759e788a8da29d991bbb0ef526eaabea823b18858f684c388710a9395e9c59c
BTCUSD_PERP,mark_price_1m,2026-04-15,True,200,200,True,36976,1440,True,60000,ok,3b5cec8e39e71988de77c0eb587a84a6b3662899c089049d8c5e7591889c8864
BTCUSD_PERP,metrics,2023-01-15,True,200,200,True,6360,288,True,300000,ok,156d9a4f8396d167b469ba74051ef01d5ab95a5aab1b87525df2b174915fb88e
BTCUSD_PERP,metrics,2024-07-15,True,200,200,True,6517,288,True,300000,ok,d5e8c443a96def306a4c862ac6af49d2a160ac934dc56cf54214018c62f477c3
BTCUSD_PERP,metrics,2025-07-15,True,200,200,True,6647,288,True,300000,ok,efc750900d8173833a9b64d69b92a8c09573ba6b71c15c8c9b23e36e7e2c8add
BTCUSD_PERP,metrics,2026-04-15,True,200,200,True,6438,288,True,300000,ok,84b6fe27575a740768f85f2433a1a46fd567383f11d738595bdc374da13cbc49
ETHUSD_PERP,book_depth,2023-01-15,True,200,200,True,821,50,True,30000,ok,5b00f0097f01cd54391ff1f68bad8e98bebd8d2f76b9b537159ba1b16a086339
ETHUSD_PERP,book_depth,2024-07-15,True,200,200,True,300754,28800,True,30000,ok,2284977a3bf33a688633030b90a884ee0d7483ce0f7305975fa8e7734aee01b5
ETHUSD_PERP,book_depth,2025-07-15,True,200,200,True,314998,28800,True,30000,ok,c3eb61cd30e24c500645ead4a6572ffd73ca1ed2267b3e695e5690e6800d9cff
ETHUSD_PERP,book_depth,2026-04-15,True,200,200,True,310451,28800,True,30000,ok,cea32dc5c44ed9509e9d00e7db795da28b1f91ca53119891fb03f4a41091e2e1
ETHUSD_PERP,book_ticker,2023-01-15,False,404,404,,353,,,,missing_archive_or_checksum,
ETHUSD_PERP,book_ticker,2024-07-15,True,200,200,True,54282564,4426839,True,4,ok,4378dfa6e583e6f8211c029f7cfa67d6ae22c196502967c62736da1989b5be95
ETHUSD_PERP,book_ticker,2025-07-15,False,404,404,,373,,,,missing_archive_or_checksum,
ETHUSD_PERP,book_ticker,2026-04-15,False,404,404,,373,,,,missing_archive_or_checksum,
ETHUSD_PERP,mark_price_1m,2023-01-15,True,200,200,True,34300,1440,True,60000,ok,dbffdec8dd08a44b0e883faa9ac765552f4f0c80c458ea82b383f653b7319aed
ETHUSD_PERP,mark_price_1m,2024-07-15,True,200,200,True,35865,1440,True,60000,ok,f5080568001496b87310eb2b9606731d9588ac34f94cc9f0cdafb9673259df65
ETHUSD_PERP,mark_price_1m,2025-07-15,True,200,200,True,36728,1440,True,60000,ok,64ada38bda4a3739ff962d05d8e29ecc21785466ee20507825e1c26242ac7836
ETHUSD_PERP,mark_price_1m,2026-04-15,True,200,200,True,33780,1440,True,60000,ok,d91f3510cfce473669d1cfd3bbed2337a957f485ead23f697d68cbc6f49f3279
ETHUSD_PERP,metrics,2023-01-15,True,200,200,True,6713,288,True,300000,ok,0f22d27696399361b5862968f1654957ddff2ce89fdf859b2411a877a19bbeac
ETHUSD_PERP,metrics,2024-07-15,True,200,200,True,6896,288,True,300000,ok,6f99f341455d3fd6dee2ecf9ac3c701001ac1f824725a1f966c8cbb01fa0f30f
ETHUSD_PERP,metrics,2025-07-15,True,200,200,True,6915,288,True,300000,ok,772bd8753433f712e74092d569beeba888a93c353ba4678beaa13abbfa915363
ETHUSD_PERP,metrics,2026-04-15,True,200,200,True,6838,288,True,300000,ok,be6f9ac504d6dc6828e58e773f19c8ded3d802524abc3c193473bcb48748e16b
