policy,family,flow_threshold,pressure_threshold,volume_threshold,max_impact_bps,depth_threshold,persistence,hold_minutes,eligible_development,preliminary_gate,btc_development_return,eth_development_return,score,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_costs,development_trade_count,development_unexplained_events
reversed_agreement_control_f2_p1.5_v0_i0_d0_n3_h12,reversed_agreement_control,2.0,1.5,0.0,0.0,0.0,3,12,False,False,,,0.05442597530699167,0.010119609319214407,0.006745758117780332,-0.002399701397354237,0.9658822131116217,3.7392332663432697,4.2656970669524006e-05,0.2,28.12792616211047,14,0
reversed_agreement_control_f2_p1.5_v0_i0_d0_n3_h3,reversed_agreement_control,2.0,1.5,0.0,0.0,0.0,3,3,False,False,,,0.05278156382403605,0.004299142385739918,0.0028685778614585544,-0.001268209698695122,1.0082746051816267,3.739233266343269,1.0664242667381002e-05,0.2,28.05485365322002,14,0
reversed_agreement_control_f2_p1_v0_i0_d0_n3_h12,reversed_agreement_control,2.0,1.0,0.0,0.0,0.0,3,12,False,False,,,0.05113694608246348,0.010274905056717687,0.006849103239561893,-0.0035334518847830454,0.9088490460547833,8.012642713592719,9.140779429183715e-05,0.2,60.32390988657925,30,0
reversed_agreement_control_f1.5_p1.5_v0_i0_d0_n3_h12,reversed_agreement_control,1.5,1.5,0.0,0.0,0.0,3,12,False,False,,,0.020582181244527143,0.004116515971520629,0.0027468045327652124,-0.003364355779063355,0.38052988358236317,8.546818894498902,9.750164724462632e-05,0.2,64.0748473700951,32,0
reversed_agreement_control_f2_p1.5_v0_i0_d0_n3_h1,reversed_agreement_control,2.0,1.5,0.0,0.0,0.0,3,1,False,False,,,0.015080178833403084,0.000855960295794489,0.000571460754648756,-0.0010530961226561386,0.2997590203530854,3.73923326634327,3.5547475557936676e-06,0.2,28.00886692804837,14,0
reversed_agreement_control_f2_p1_v0_i0_d0_n3_h3,reversed_agreement_control,2.0,1.0,0.0,0.0,0.0,3,3,False,False,,,0.008574793099314379,0.0008944078456669668,0.0005971255000631892,-0.002584134785769243,0.18128108316465388,8.279730804045808,2.3613680192057934e-05,0.2,62.01617597929612,31,0
reversed_agreement_control_f1.5_p1_v0_i0_d0_n3_h12,reversed_agreement_control,1.5,1.0,0.0,0.0,0.0,3,12,False,False,,,0.0018269618881280457,0.0008650726166379297,0.0005775434968304793,-0.006578239882458203,0.07767388497792514,19.76451869352871,0.00022547255925319836,0.2,147.87296560122152,74,0
reversed_agreement_control_f1.5_p1.5_v0_i0_d0_n3_h3,reversed_agreement_control,1.5,1.5,0.0,0.0,0.0,3,3,False,False,,,-0.010444011371126802,-0.0008375628381043221,-0.0005593354987730725,-0.0030097433628701875,-0.17404621675143025,8.813906984951991,2.5137143430255218e-05,0.2,65.93978030728799,33,0
reversed_agreement_control_f2_p1_v0_i0_d0_n3_h1,reversed_agreement_control,2.0,1.0,0.0,0.0,0.0,3,1,False,False,,,-0.03983156160395798,-0.0025510502920186306,-0.0017041106459206867,-0.0027521513455123214,-0.7404852548616296,8.279730804045808,7.871226730685978e-06,0.2,61.93228711334707,31,0
reversed_agreement_control_f1.5_p1.5_v0_i0_d0_n3_h1,reversed_agreement_control,1.5,1.5,0.0,0.0,0.0,3,1,False,False,,,-0.05631605299772214,-0.003767170379654683,-0.002516992839004639,-0.004084542262259849,-1.0501843046799262,8.81390698495199,8.379047810085073e-06,0.2,65.84604348049122,33,0
reversed_agreement_control_f1.5_p1_v0_i0_d0_n3_h3,reversed_agreement_control,1.5,1.0,0.0,0.0,0.0,3,3,False,False,,,-0.07989492146846056,-0.008260267984666503,-0.005523145225263204,-0.008346158147543026,-1.4301458188199911,20.29869487443489,5.789160305149687e-05,0.2,151.24647381315998,76,0
agreement_continuation_f2_p1.5_v0_i0_d0_n3_h12,agreement_continuation,2.0,1.5,0.0,0.0,0.0,3,12,False,False,,,-0.08125977021387379,-0.015625813885679185,-0.010460948226778899,-0.016150130207380653,-1.37619771279445,3.7392332663432697,4.2656970669524006e-05,0.2,27.800181943996527,14,0
agreement_continuation_f1.5_p1.5_v0_i0_d0_n3_h12,agreement_continuation,1.5,1.5,0.0,0.0,0.0,3,12,False,False,,,-0.08789609512337554,-0.01684818032503177,-0.011281598861246245,-0.01686792006356741,-1.4814604473264534,8.546818894498902,9.750164724462632e-05,0.2,63.52938590654308,32,0
agreement_continuation_f2_p1.5_v0_i0_d0_n3_h1,agreement_continuation,2.0,1.5,0.0,0.0,0.0,3,1,False,False,,,-0.09151439705714769,-0.006442157145794436,-0.004306175802415102,-0.006442157145794436,-1.723801644270376,3.73923326634327,3.5547475557936676e-06,0.2,27.918447662388807,14,0
agreement_continuation_f2_p1.5_v0_i0_d0_n3_h3,agreement_continuation,2.0,1.5,0.0,0.0,0.0,3,3,False,False,,,-0.09912323766113901,-0.009856997406642587,-0.00659254247747032,-0.009932341426735158,-1.8232707542872166,3.739233266343269,1.0664242667381002e-05,0.2,27.87273282613277,14,0
agreement_continuation_f2_p1_v0_i0_d0_n3_h12,agreement_continuation,2.0,1.0,0.0,0.0,0.0,3,12,False,False,,,-0.11044953231706454,-0.022067694836494622,-0.014789605994864008,-0.022194037220312213,-1.8527851665762005,8.012642713592719,9.140779429183715e-05,0.2,59.33252013591992,30,0
agreement_continuation_f1.5_p1.5_v0_i0_d0_n3_h3,agreement_continuation,1.5,1.5,0.0,0.0,0.0,3,3,False,False,,,-0.1201950124939876,-0.012303531688391156,-0.008232202370258679,-0.012303531688391156,-2.197021325127892,8.813906984951991,2.5137143430255218e-05,0.2,65.638903902062,33,0
