asset,expiry,symbol,attempted_months,valid_months,first_valid_month,last_valid_month,contract_passed
BTC,2021-03-26,BTCUSDT_210326,7,2,2021-02,2021-03,True
BTC,2021-06-25,BTCUSDT_210625,7,4,2021-03,2021-06,True
BTC,2021-09-24,BTCUSDT_210924,7,4,2021-06,2021-09,True
BTC,2021-12-31,BTCUSDT_211231,7,4,2021-09,2021-12,True
BTC,2022-03-25,BTCUSDT_220325,7,4,2021-12,2022-03,True
BTC,2022-06-24,BTCUSDT_220624,7,4,2022-03,2022-06,True
BTC,2022-09-30,BTCUSDT_220930,7,4,2022-06,2022-09,True
BTC,2022-12-30,BTCUSDT_221230,7,4,2022-09,2022-12,True
BTC,2023-03-31,BTCUSDT_230331,7,4,2022-12,2023-03,True
BTC,2023-06-30,BTCUSDT_230630,7,4,2023-03,2023-06,True
BTC,2023-09-29,BTCUSDT_230929,7,4,2023-06,2023-09,True
BTC,2023-12-29,BTCUSDT_231229,7,5,2023-08,2023-12,True
BTC,2024-03-29,BTCUSDT_240329,7,7,2023-09,2024-03,True
BTC,2024-06-28,BTCUSDT_240628,7,7,2023-12,2024-06,True
BTC,2024-09-27,BTCUSDT_240927,7,7,2024-03,2024-09,True
BTC,2024-12-27,BTCUSDT_241227,7,7,2024-06,2024-12,True
BTC,2025-03-28,BTCUSDT_250328,7,7,2024-09,2025-03,True
BTC,2025-06-27,BTCUSDT_250627,7,7,2024-12,2025-06,True
BTC,2025-09-26,BTCUSDT_250926,7,7,2025-03,2025-09,True
BTC,2025-12-26,BTCUSDT_251226,7,7,2025-06,2025-12,True
BTC,2026-03-27,BTCUSDT_260327,7,7,2025-09,2026-03,True
BTC,2026-06-26,BTCUSDT_260626,7,7,2025-12,2026-06,True
ETH,2021-03-26,ETHUSDT_210326,7,2,2021-02,2021-03,True
ETH,2021-06-25,ETHUSDT_210625,7,4,2021-03,2021-06,True
ETH,2021-09-24,ETHUSDT_210924,7,4,2021-06,2021-09,True
ETH,2021-12-31,ETHUSDT_211231,7,4,2021-09,2021-12,True
ETH,2022-03-25,ETHUSDT_220325,7,4,2021-12,2022-03,True
ETH,2022-06-24,ETHUSDT_220624,7,4,2022-03,2022-06,True
ETH,2022-09-30,ETHUSDT_220930,7,4,2022-06,2022-09,True
ETH,2022-12-30,ETHUSDT_221230,7,4,2022-09,2022-12,True
ETH,2023-03-31,ETHUSDT_230331,7,4,2022-12,2023-03,True
ETH,2023-06-30,ETHUSDT_230630,7,4,2023-03,2023-06,True
ETH,2023-09-29,ETHUSDT_230929,7,4,2023-06,2023-09,True
ETH,2023-12-29,ETHUSDT_231229,7,5,2023-08,2023-12,True
ETH,2024-03-29,ETHUSDT_240329,7,7,2023-09,2024-03,True
ETH,2024-06-28,ETHUSDT_240628,7,7,2023-12,2024-06,True
ETH,2024-09-27,ETHUSDT_240927,7,7,2024-03,2024-09,True
ETH,2024-12-27,ETHUSDT_241227,7,7,2024-06,2024-12,True
ETH,2025-03-28,ETHUSDT_250328,7,7,2024-09,2025-03,True
ETH,2025-06-27,ETHUSDT_250627,7,7,2024-12,2025-06,True
ETH,2025-09-26,ETHUSDT_250926,7,7,2025-03,2025-09,True
ETH,2025-12-26,ETHUSDT_251226,7,7,2025-06,2025-12,True
ETH,2026-03-27,ETHUSDT_260327,7,7,2025-09,2026-03,True
ETH,2026-06-26,ETHUSDT_260626,7,7,2025-12,2026-06,True
