asset,dataset,month,attempted_days,valid_days,availability,schema_widths,gate_passed
BTC,premium_index_5m,2026-06,30,30,1.0,[12],True
BTC,mark_price_5m,2026-06,30,30,1.0,[12],True
BTC,index_price_5m,2026-06,30,30,1.0,[12],True
BTC,perpetual_5m,2026-06,30,30,1.0,[12],True
BTC,funding,2026-06,30,0,0.0,[],False
ETH,premium_index_5m,2026-06,30,30,1.0,[12],True
ETH,mark_price_5m,2026-06,30,30,1.0,[12],True
ETH,index_price_5m,2026-06,30,30,1.0,[12],True
ETH,perpetual_5m,2026-06,30,30,1.0,[12],True
ETH,funding,2026-06,30,0,0.0,[],False
SOL,premium_index_5m,2021-01,31,24,0.7741935483870968,[12],False
SOL,premium_index_5m,2026-06,30,30,1.0,[12],True
SOL,mark_price_5m,2021-01,31,17,0.5483870967741935,[12],False
SOL,mark_price_5m,2026-06,30,30,1.0,[12],True
SOL,index_price_5m,2021-01,31,17,0.5483870967741935,[12],False
SOL,index_price_5m,2026-06,30,30,1.0,[12],True
SOL,perpetual_5m,2021-01,31,31,1.0,[12],True
SOL,perpetual_5m,2026-06,30,30,1.0,[12],True
SOL,funding,2021-01,31,0,0.0,[],False
SOL,funding,2026-06,30,0,0.0,[],False
