kind,symbol,month,url,bytes,sha256,checksum_available,checksum_passed,rows,missing
fundingRate,BNBUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/BNBUSDT/BNBUSDT-fundingRate-2020-01.zip,0,,False,,0,True
fundingRate,BTCUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-01.zip,825,7f81b2f3694d13779e7e896b69d60cd61e9444d7b9f9e90df761935e1c1b76e2,True,True,93,False
fundingRate,LTCUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/LTCUSDT/LTCUSDT-fundingRate-2020-01.zip,681,085683a756545a7ac99d176875f22b577d2d055c4663850b75bdc4fb37568194,True,True,68,False
fundingRate,XRPUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/XRPUSDT/XRPUSDT-fundingRate-2020-01.zip,723,4b985e0842668657a0811c04102bb75c42d9cbfc6b9e4f3bd6d7703e4ba35cec,True,True,77,False
klines,ETHUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2020-01.zip,34389,fb4840ec9ce7248ec4d82ce4bf3e9ca50872a3ad6b6ab4e3720f218f5f3a6021,True,True,744,False
klines,BTCUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2020-01.zip,37271,512a1d725c8df97a1bbbee4f118e730e9628500a8f271c9e59d2a7fc5fbfcfcc,True,True,744,False
klines,BCHUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/BCHUSDT/1h/BCHUSDT-1h-2020-01.zip,35075,8cff151a174fe6e35c77511ca51a9dc6fdb196c5fe6f025cdf6d633e51e4db39,True,True,744,False
fundingRate,DOGEUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/DOGEUSDT/DOGEUSDT-fundingRate-2020-01.zip,0,,False,,0,True
klines,DOGEUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/DOGEUSDT/1h/DOGEUSDT-1h-2020-01.zip,0,,False,,0,True
fundingRate,EOSUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/EOSUSDT/EOSUSDT-fundingRate-2020-01.zip,675,c9091e7af126fc559601ad5d7b433db7c44018b037b4dbeb00ac1a946401d4b9,True,True,71,False
