symbol,kline_rows,start,end,duplicates,funding_rows
BTCUSDT,56952,2020-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,0,7119
ETHUSDT,56952,2020-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,0,7119
BNBUSDT,55984,2020-02-10T08:00:00+00:00,2026-06-30T23:00:00+00:00,0,6998
XRPUSDT,56704,2020-01-06T08:00:00+00:00,2026-06-30T23:00:00+00:00,0,7103
ADAUSDT,56224,2020-01-31T08:00:00+00:00,2026-06-30T23:00:00+00:00,0,7063
LTCUSDT,56632,2020-01-09T08:00:00+00:00,2026-06-30T23:00:00+00:00,0,7094
BCHUSDT,56952,2020-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,0,7119
EOSUSDT,47042,2020-01-08T08:00:00+00:00,2025-05-21T09:00:00+00:00,0,7097
DOGEUSDT,52359,2020-07-10T09:00:00+00:00,2026-06-30T23:00:00+00:00,0,6545
LINKUSDT,56560,2020-01-17T08:00:00+00:00,2026-06-30T23:00:00+00:00,0,7070
DOTUSDT,51329,2020-08-22T07:00:00+00:00,2026-06-30T23:00:00+00:00,0,6422
TRXUSDT,56488,2020-01-15T08:00:00+00:00,2026-06-30T23:00:00+00:00,0,7076
SOLUSDT,50657,2020-09-14T07:00:00+00:00,2026-06-30T23:00:00+00:00,0,6424
