period,series_a,series_b,correlation
full,V7_BASELINE,V8_RELATIVE_TREND,0.18594883272306412
full,V7_BASELINE,V8_V7_FIXED_SCALE04_CAP85,0.9754330677074468
full,V7_BASELINE,V8_V7_RATCHET_SCALE04_CAP85,0.9531853533677906
full,V8_RELATIVE_TREND,V8_V7_FIXED_SCALE04_CAP85,0.39571116446351073
full,V8_RELATIVE_TREND,V8_V7_RATCHET_SCALE04_CAP85,0.3558272638357224
full,V8_V7_FIXED_SCALE04_CAP85,V8_V7_RATCHET_SCALE04_CAP85,0.9702390032681784
2021,V7_BASELINE,V8_RELATIVE_TREND,0.14095305462507282
2021,V7_BASELINE,V8_V7_FIXED_SCALE04_CAP85,0.9752693172299308
2021,V7_BASELINE,V8_V7_RATCHET_SCALE04_CAP85,0.9500856666095773
2021,V8_RELATIVE_TREND,V8_V7_FIXED_SCALE04_CAP85,0.35627969133455356
2021,V8_RELATIVE_TREND,V8_V7_RATCHET_SCALE04_CAP85,0.2615851759342649
2021,V8_V7_FIXED_SCALE04_CAP85,V8_V7_RATCHET_SCALE04_CAP85,0.9550828461154823
2022,V7_BASELINE,V8_RELATIVE_TREND,0.25529125866863633
2022,V7_BASELINE,V8_V7_FIXED_SCALE04_CAP85,0.9505663868629606
2022,V7_BASELINE,V8_V7_RATCHET_SCALE04_CAP85,0.9505766991883696
2022,V8_RELATIVE_TREND,V8_V7_FIXED_SCALE04_CAP85,0.5428178316093509
2022,V8_RELATIVE_TREND,V8_V7_RATCHET_SCALE04_CAP85,0.5427892207079964
2022,V8_V7_FIXED_SCALE04_CAP85,V8_V7_RATCHET_SCALE04_CAP85,0.9999998028917463
2023,V7_BASELINE,V8_RELATIVE_TREND,0.055386854488051675
2023,V7_BASELINE,V8_V7_FIXED_SCALE04_CAP85,0.9825466107318914
2023,V7_BASELINE,V8_V7_RATCHET_SCALE04_CAP85,0.9836099739962347
2023,V8_RELATIVE_TREND,V8_V7_FIXED_SCALE04_CAP85,0.23046397386200645
2023,V8_RELATIVE_TREND,V8_V7_RATCHET_SCALE04_CAP85,0.23435148032225395
2023,V8_V7_FIXED_SCALE04_CAP85,V8_V7_RATCHET_SCALE04_CAP85,0.9985436025654921
2024,V7_BASELINE,V8_RELATIVE_TREND,0.05144776888416455
2024,V7_BASELINE,V8_V7_FIXED_SCALE04_CAP85,0.9739710641916792
2024,V7_BASELINE,V8_V7_RATCHET_SCALE04_CAP85,0.9741330507162331
2024,V8_RELATIVE_TREND,V8_V7_FIXED_SCALE04_CAP85,0.2747896999110028
2024,V8_RELATIVE_TREND,V8_V7_RATCHET_SCALE04_CAP85,0.27578645222682513
2024,V8_V7_FIXED_SCALE04_CAP85,V8_V7_RATCHET_SCALE04_CAP85,0.9996088360982266
2025,V7_BASELINE,V8_RELATIVE_TREND,0.3836098811513259
2025,V7_BASELINE,V8_V7_FIXED_SCALE04_CAP85,0.983720343579351
2025,V7_BASELINE,V8_V7_RATCHET_SCALE04_CAP85,0.9842046894315968
2025,V8_RELATIVE_TREND,V8_V7_FIXED_SCALE04_CAP85,0.5422471892396179
2025,V8_RELATIVE_TREND,V8_V7_RATCHET_SCALE04_CAP85,0.5410404068434649
2025,V8_V7_FIXED_SCALE04_CAP85,V8_V7_RATCHET_SCALE04_CAP85,0.9997903383605372
2026,V7_BASELINE,V8_RELATIVE_TREND,0.3653559225516392
2026,V7_BASELINE,V8_V7_FIXED_SCALE04_CAP85,0.9680381124528755
2026,V7_BASELINE,V8_V7_RATCHET_SCALE04_CAP85,0.9680356293277073
2026,V8_RELATIVE_TREND,V8_V7_FIXED_SCALE04_CAP85,0.5871217709803849
2026,V8_RELATIVE_TREND,V8_V7_RATCHET_SCALE04_CAP85,0.5871281321942133
2026,V8_V7_FIXED_SCALE04_CAP85,V8_V7_RATCHET_SCALE04_CAP85,0.9999999448755174
