policy,cadence_days,later_net_pct,later_close_dd_pct,later_fills,later_double_cost_net_pct,okx_later_net_pct,full_cagr_pct,full_close_dd_pct,full_accounting_complete,development_gate_passed
asymmetric_blend,3,-26.68143043407626,-34.83021558705581,502,-31.179554783820716,-31.331938708714667,29.576767423967553,-53.43253283599574,true,false
asymmetric_blend,7,-12.663131148328121,-27.09682049365706,279,-16.40682990228266,-20.432443367192842,29.79058315055214,-53.48202051259753,true,false
btc_early_downside,3,-5.367050927879625,-21.191665611750132,36,-8.973675458335705,-5.397561997241995,10.197603154462008,-44.594466840071775,true,false
btc_early_downside,7,-8.783034029293102,-25.162684430412497,23,-11.476399057014131,-8.793376610918092,-2.1785753921432116,-62.57182803257475,true,false
early_downside,3,-19.322055114609704,-37.45818879901416,264,-25.07315835794579,-27.37955647691509,,-58.869572570429526,false,false
early_downside,7,-2.012417065163352,-25.696476274241874,129,-6.671333963222603,-12.621217586031086,34.29467192962363,-58.698234651589345,true,false
early_full,3,-32.175185219423206,-42.872846393483954,268,-37.57462999477602,-38.271310894039075,,-68.71063977371008,false,false
early_full,7,-14.661159416006143,-31.77259320236373,132,-19.155046944053232,-23.084725949820527,,-71.30879693085708,false,false
early_total,3,-12.199779232519958,-34.5946934231916,265,-18.220405759852053,-20.904960787225157,30.60930597409932,-51.48937621283266,true,false
early_total,7,-1.0493193154919922,-25.098742338166137,129,-5.520553930196526,-11.95905963638062,24.15516219992375,-45.260997490129306,true,false
guarded_plus_pulse,3,-2.7238123348808596,-12.666812244322067,561,-5.047281670034787,-4.142045493074198,21.4144681956284,-23.720194100695046,true,false
guarded_plus_pulse,7,3.2996801761035144,-10.273671163238895,326,1.6507562512238838,0.8550569993996726,19.79296592363795,-24.613134290647277,true,false
ignition_downside,3,-22.53211844061761,-43.56777894080499,375,-27.32679708191823,-31.50898121765664,,-62.11719168890566,false,false
ignition_downside,7,-15.342078286441652,-31.479740763799434,191,-19.491991208802904,-27.21210581404342,,-70.92738346723245,false,false
leader_downside,3,-22.258011456942228,-44.45214860776011,126,-31.04346066920649,,45.616824739367345,-61.948955244709914,true,false
leader_downside,7,11.210677703324556,-26.87323154618867,71,2.195288411035601,4.981427374463365,,-80.4085667851749,false,false
rebound_downside,3,-25.468838705827313,-30.559623986975183,168,-28.851110464772077,-11.970668016294805,-3.647375143672915,-55.43232255972031,true,false
rebound_downside,7,-29.729026036888605,-31.2258748744178,98,-32.067575885722896,-20.83723938760006,-3.934733531737522,-61.814959254159064,true,false
residual_downside,3,-16.931844068521173,-28.55218953818184,221,-22.00378294593195,-21.96925158271521,,-60.475052853128865,false,false
residual_downside,7,-11.562866008962768,-22.294921068807206,109,-15.301689829381171,-16.786862087646913,30.791074927452676,-68.47436714884503,true,false
