id,return_2022,return_2023,trades_2022,trades_2023,halt_2022,halt_2023
confirmed_breakout_w1_q0.1_quick,-7.0103728719096425,-6.758132758993629,52,77,2022-01-07 02:44:00+00:00,2023-01-18 02:45:00+00:00
confirmed_breakout_w1_q0.1_intraday,-6.956373511552549,-7.014105384396707,58,54,2022-01-08 00:02:00+00:00,2023-01-07 04:38:00+00:00
confirmed_breakout_w1_q0.1_runner,-6.964927426151868,-6.933338606602224,72,57,2022-01-08 00:02:00+00:00,2023-01-12 12:37:00+00:00
confirmed_breakout_w1_q0.25_quick,-6.998469572222477,-6.759800595695431,55,78,2022-01-07 06:01:00+00:00,2023-02-03 20:19:00+00:00
confirmed_breakout_w1_q0.25_intraday,-6.949972094626212,-7.000000000000006,52,49,2022-01-07 20:31:00+00:00,2023-01-07 09:31:00+00:00
confirmed_breakout_w1_q0.25_runner,-6.9610894069314755,-7.030510786082889,66,53,2022-01-09 01:15:00+00:00,2023-01-17 11:28:00+00:00
confirmed_breakout_w5_q0.1_quick,-6.900193004221911,-6.9202110256324945,54,88,2022-01-07 03:07:00+00:00,2023-01-20 16:33:00+00:00
confirmed_breakout_w5_q0.1_intraday,-6.705526025991714,-7.047870860568151,64,57,2022-01-07 04:37:00+00:00,2023-01-07 09:05:00+00:00
confirmed_breakout_w5_q0.1_runner,-6.822291090947741,-6.515609269609057,76,101,2022-01-09 01:31:00+00:00,2023-01-19 02:10:00+00:00
confirmed_breakout_w5_q0.25_quick,-7.030033473261977,-6.7737286543622215,65,85,2022-01-09 18:54:00+00:00,2023-04-05 02:06:00+00:00
confirmed_breakout_w5_q0.25_intraday,-6.9352538075941546,-7.075478650493416,69,66,2022-01-09 13:35:00+00:00,2023-03-05 16:21:00+00:00
confirmed_breakout_w5_q0.25_runner,-6.452248903502955,-6.500330118003761,87,74,2022-01-11 08:00:00+00:00,2023-03-28 05:06:00+00:00
confirmed_breakout_w15_q0.1_quick,-6.981744473360141,-6.337617203362422,48,87,2022-01-07 02:44:00+00:00,2023-02-13 16:34:00+00:00
confirmed_breakout_w15_q0.1_intraday,-6.782543658816175,-7.044692730141566,51,52,2022-01-07 05:12:00+00:00,2023-01-10 15:33:00+00:00
confirmed_breakout_w15_q0.1_runner,-6.453706545184246,-6.293070882535345,48,89,2022-01-07 02:24:00+00:00,2023-01-24 01:55:00+00:00
confirmed_breakout_w15_q0.25_quick,-7.046435591775257,-6.862929894800263,100,56,2022-02-22 03:06:00+00:00,2023-05-22 00:32:00+00:00
confirmed_breakout_w15_q0.25_intraday,-6.827818406063713,-6.907591175036409,66,55,2022-02-04 01:38:00+00:00,2023-04-10 06:48:00+00:00
confirmed_breakout_w15_q0.25_runner,-6.512208084142868,-6.889889077722899,115,87,2022-02-20 03:27:00+00:00,2023-04-24 00:23:00+00:00
spot_absorption_w1_q0.1_quick,-6.930521907176413,-6.981960447906044,74,75,2022-01-09 01:28:00+00:00,2023-02-13 17:11:00+00:00
spot_absorption_w1_q0.1_intraday,-6.463170386947958,-6.7975128406983165,71,70,2022-01-09 00:51:00+00:00,2023-01-10 02:24:00+00:00
spot_absorption_w1_q0.1_runner,-5.94261491743282,-6.4626130980493635,78,78,2022-01-07 18:49:00+00:00,2023-01-18 21:58:00+00:00
spot_absorption_w1_q0.25_quick,-6.984927211608005,-6.999999999999995,70,50,2022-01-30 11:34:00+00:00,2023-09-07 21:39:00+00:00
spot_absorption_w1_q0.25_intraday,-6.821494986282595,-6.906642095283266,53,55,2022-01-16 12:32:00+00:00,2023-03-26 21:48:00+00:00
spot_absorption_w1_q0.25_runner,-6.965145784061411,-5.147124484064336,73,66,2022-01-19 01:33:00+00:00,2023-04-18 17:28:00+00:00
spot_absorption_w5_q0.1_quick,-7.100546654077522,-6.743208310563087,69,78,2022-01-10 01:38:00+00:00,2023-05-03 15:02:00+00:00
spot_absorption_w5_q0.1_intraday,-6.803709191400165,-7.015595470558167,61,59,2022-01-08 02:02:00+00:00,2023-02-08 05:02:00+00:00
spot_absorption_w5_q0.1_runner,-6.942990180576558,-7.013114584763514,66,90,2022-01-08 02:55:00+00:00,2023-03-30 13:29:00+00:00
spot_absorption_w5_q0.25_quick,-4.883463710571789,-0.38118339356797426,48,3,,
spot_absorption_w5_q0.25_intraday,-6.758656895685855,-6.911598595462687,113,39,2022-04-28 02:37:00+00:00,2023-05-25 11:56:00+00:00
spot_absorption_w5_q0.25_runner,-6.908176971425551,-6.973680717405317,116,76,2022-05-21 14:37:00+00:00,2023-12-31 22:21:00+00:00
spot_absorption_w15_q0.1_quick,-7.055863969709497,-7.020204935556418,53,62,2022-01-18 08:33:00+00:00,2023-11-15 18:09:00+00:00
spot_absorption_w15_q0.1_intraday,-7.0608836498078915,-6.949326595385097,46,60,2022-01-11 09:21:00+00:00,2023-04-12 11:31:00+00:00
spot_absorption_w15_q0.1_runner,-6.895917965404963,-7.018876846455669,70,70,2022-01-15 02:20:00+00:00,2023-05-04 04:43:00+00:00
spot_absorption_w15_q0.25_quick,-0.5756227809017522,0.0,4,0,,
spot_absorption_w15_q0.25_intraday,-0.47802703532280333,-7.064047112515204,6,62,,2023-10-29 00:54:00+00:00
spot_absorption_w15_q0.25_runner,-0.5494893234830656,-0.8697389876118455,6,5,,
perp_exhaustion_w1_q0.1_quick,-6.99475915887271,-6.7310384730914,73,71,2022-04-25 18:10:00+00:00,2023-11-03 18:32:00+00:00
perp_exhaustion_w1_q0.1_intraday,-6.999999999999995,-6.7921112476820085,60,64,2022-03-01 17:02:00+00:00,2023-01-20 04:55:00+00:00
perp_exhaustion_w1_q0.1_runner,-7.046686077521858,-7.000000000000018,74,61,2022-03-20 00:10:00+00:00,2023-02-03 11:13:00+00:00
perp_exhaustion_w1_q0.25_quick,-7.000000000000018,-2.944197856346409,76,22,2022-08-10 21:20:00+00:00,
perp_exhaustion_w1_q0.25_intraday,-6.680525330710852,-6.792111247682064,63,50,2022-04-11 17:07:00+00:00,2023-02-03 05:01:00+00:00
perp_exhaustion_w1_q0.25_runner,-6.720553361282833,-7.031151319006657,60,57,2022-04-11 17:03:00+00:00,2023-03-29 09:39:00+00:00
perp_exhaustion_w5_q0.1_quick,-6.806199663430046,-6.981960447906033,114,67,2022-01-30 08:45:00+00:00,2023-01-24 09:33:00+00:00
perp_exhaustion_w5_q0.1_intraday,-6.244613297107648,-7.079646263990957,85,59,2022-01-17 13:10:00+00:00,2023-01-08 00:11:00+00:00
perp_exhaustion_w5_q0.1_runner,-6.618014988580045,-7.019562513758293,96,68,2022-01-18 14:28:00+00:00,2023-01-15 04:51:00+00:00
perp_exhaustion_w5_q0.25_quick,-6.941656141239061,-6.999999999999995,69,64,2022-02-02 09:12:00+00:00,2023-02-26 14:52:00+00:00
perp_exhaustion_w5_q0.25_intraday,-6.856965476796395,-7.000000000000018,90,63,2022-01-26 04:32:00+00:00,2023-01-08 22:23:00+00:00
perp_exhaustion_w5_q0.25_runner,-6.9620764918053695,-6.840793395718647,88,95,2022-01-23 21:10:00+00:00,2023-01-24 06:01:00+00:00
perp_exhaustion_w15_q0.1_quick,-6.855549742870071,-6.914452687796557,78,51,2022-01-31 17:13:00+00:00,2023-01-20 15:40:00+00:00
perp_exhaustion_w15_q0.1_intraday,-6.159308879605496,-7.076965132688462,91,72,2022-01-26 12:39:00+00:00,2023-01-09 02:33:00+00:00
perp_exhaustion_w15_q0.1_runner,-5.650248389916812,-6.82659880815889,97,63,2022-01-28 22:22:00+00:00,2023-01-15 01:27:00+00:00
