model,period,start,year,return_pct,full_year
relative125,full,2021-01-01,2021,26.02984156330912,True
relative125,full,2021-01-01,2022,17.319109870000293,True
relative125,full,2021-01-01,2023,-4.836316829701149,True
relative125,full,2021-01-01,2024,-15.32398233656278,True
relative125,full,2021-01-01,2025,48.75957913720128,True
relative125,full,2021-01-01,2026,7.047918100419492,False
relative125,later,2025-01-01,2025,48.843836561122636,True
relative125,later,2025-01-01,2026,7.042360462240094,False
relative125,validation,2024-01-01,2024,-15.448753497315925,True
relative125,later_double_costs,2025-01-01,2025,47.07053018875176,True
relative125,later_double_costs,2025-01-01,2026,6.515718756009403,False
relative125,later_delay2,2025-01-01,2025,51.66624254810876,True
relative125,later_delay2,2025-01-01,2026,7.210290207011427,False
daily25,full,2021-01-01,2021,21.024442869728908,True
daily25,full,2021-01-01,2022,9.149662144524529,True
daily25,full,2021-01-01,2023,-4.511321228058341,True
daily25,full,2021-01-01,2024,6.652923643757447,True
daily25,full,2021-01-01,2025,6.291376079257827,True
daily25,full,2021-01-01,2026,6.655141464449588,False
daily25,later,2025-01-01,2025,6.281161864204332,True
daily25,later,2025-01-01,2026,6.597407535092259,False
daily25,validation,2024-01-01,2024,6.670772472710906,True
daily25,later_double_costs,2025-01-01,2025,5.8895540410251135,True
daily25,later_double_costs,2025-01-01,2026,6.404166544486456,False
daily25,later_delay2,2025-01-01,2025,4.31114979903402,True
daily25,later_delay2,2025-01-01,2026,7.754958917143906,False
daily50,full,2021-01-01,2021,41.94851281026084,True
daily50,full,2021-01-01,2022,17.584798021726343,True
daily50,full,2021-01-01,2023,-8.935364214965047,True
daily50,full,2021-01-01,2024,12.991605261421512,True
daily50,full,2021-01-01,2025,12.067491155438903,True
daily50,full,2021-01-01,2026,13.725730709938855,False
daily50,later,2025-01-01,2025,12.047409516633989,True
daily50,later,2025-01-01,2026,13.620769922186637,False
daily50,validation,2024-01-01,2024,13.047401334520092,True
daily50,later_double_costs,2025-01-01,2025,11.167542957488141,True
daily50,later_double_costs,2025-01-01,2026,13.228310300221935,False
daily50,later_delay2,2025-01-01,2025,7.937075090805834,True
daily50,later_delay2,2025-01-01,2026,15.971748649731277,False
mix25,full,2021-01-01,2021,58.40732833125062,True
mix25,full,2021-01-01,2022,20.941632530683773,True
mix25,full,2021-01-01,2023,-6.174062622187915,True
mix25,full,2021-01-01,2024,-4.418934717388123,True
mix25,full,2021-01-01,2025,48.93154791597498,True
mix25,full,2021-01-01,2026,2.85656434885051,False
mix25,later,2025-01-01,2025,49.0098550409996,True
mix25,later,2025-01-01,2026,2.802288351560356,False
mix25,validation,2024-01-01,2024,-4.472316012866029,True
mix25,later_double_costs,2025-01-01,2025,47.67651871142651,True
mix25,later_double_costs,2025-01-01,2026,2.3129798682298475,False
mix25,later_delay2,2025-01-01,2025,52.32158113646974,True
mix25,later_delay2,2025-01-01,2026,3.221432151635062,False
mix50,full,2021-01-01,2021,99.05446995658431,True
mix50,full,2021-01-01,2022,41.31584733535041,True
mix50,full,2021-01-01,2023,-8.392856369601043,True
mix50,full,2021-01-01,2024,6.445697553881158,True
mix50,full,2021-01-01,2025,46.49372884869527,True
mix50,full,2021-01-01,2026,3.3503984215153437,False
mix50,later,2025-01-01,2025,46.444669866441004,True
mix50,later,2025-01-01,2026,3.2436949991164976,False
mix50,validation,2024-01-01,2024,6.467050061328439,True
mix50,later_double_costs,2025-01-01,2025,44.1042081330695,True
mix50,later_double_costs,2025-01-01,2026,2.558330599187486,False
mix50,later_delay2,2025-01-01,2025,50.51053030225543,True
mix50,later_delay2,2025-01-01,2026,5.262777966492216,False
mix25,full_double_costs,2021-01-01,2021,56.492772129014426,True
mix25,full_double_costs,2021-01-01,2022,20.195639975142488,True
mix25,full_double_costs,2021-01-01,2023,-7.2990650770149434,True
mix25,full_double_costs,2021-01-01,2024,-5.541597703000633,True
mix25,full_double_costs,2021-01-01,2025,47.64307447122405,True
mix25,full_double_costs,2021-01-01,2026,2.298834939027561,False
mix25,later_capital1000,2025-01-01,2025,46.99075730197033,True
mix25,later_capital1000,2025-01-01,2026,3.2002062979545443,False
mix25,origin365,2021-01-01,2021,58.40732833125062,True
mix25,origin365,2022-01-01,2022,20.912496488153053,True
mix25,origin365,2023-01-01,2023,-6.236548422433241,True
mix25,origin365,2025-01-01,2025,49.0098550409996,True
mix25,origin365,2022-07-01,2022,2.528429408068189,False
mix25,origin365,2022-07-01,2023,-6.710669431985073,False
mix25,origin365,2023-07-01,2023,1.9058424949257136,False
mix25,origin365,2023-07-01,2024,-15.67637505974141,False
mix25,origin365,2024-07-01,2024,13.377388164171112,False
mix25,origin365,2024-07-01,2025,28.652277803454783,False
relative125,full_double_costs,2021-01-01,2021,23.84766386175008,True
relative125,full_double_costs,2021-01-01,2022,16.346105311220626,True
relative125,full_double_costs,2021-01-01,2023,-6.141486348761216,True
relative125,full_double_costs,2021-01-01,2024,-16.648032369035725,True
relative125,full_double_costs,2021-01-01,2025,46.99606533913765,True
relative125,full_double_costs,2021-01-01,2026,6.577064507321673,False
relative125,later_capital1000,2025-01-01,2025,47.981006858425815,True
relative125,later_capital1000,2025-01-01,2026,7.580852405823957,False
relative125,origin365,2021-01-01,2021,26.02984156330912,True
relative125,origin365,2022-01-01,2022,17.39648842314967,True
relative125,origin365,2023-01-01,2023,-4.843313811802574,True
relative125,origin365,2025-01-01,2025,48.843836561122636,True
relative125,origin365,2022-07-01,2022,8.067268684563755,False
relative125,origin365,2022-07-01,2023,-3.0176761279623876,False
relative125,origin365,2023-07-01,2023,0.2589442175191081,False
relative125,origin365,2023-07-01,2024,-20.821459689596445,False
relative125,origin365,2024-07-01,2024,6.980781887279064,False
relative125,origin365,2024-07-01,2025,29.20764998901719,False
