model,period,start,year,return_pct,full_year
ratio30_125,full,2021-01-01,2021,26.02984156330912,True
ratio30_125,full,2021-01-01,2022,17.319109870000293,True
ratio30_125,full,2021-01-01,2023,-4.836316829701149,True
ratio30_125,full,2021-01-01,2024,-15.32398233656278,True
ratio30_125,full,2021-01-01,2025,48.75957913720128,True
ratio30_125,full,2021-01-01,2026,7.047918100419492,False
ratio30_125,later,2025-01-01,2025,48.843836561122636,True
ratio30_125,later,2025-01-01,2026,7.042360462240094,False
ratio30_125,validation,2024-01-01,2024,-15.448753497315925,True
ratio30_125,later_double_costs,2025-01-01,2025,47.07053018875176,True
ratio30_125,later_double_costs,2025-01-01,2026,6.515718756009403,False
ratio30_125,later_delay2,2025-01-01,2025,51.66624254810876,True
ratio30_125,later_delay2,2025-01-01,2026,7.210290207011427,False
btc_h4,full,2021-01-01,2021,-11.415850449055176,True
btc_h4,full,2021-01-01,2022,23.650616587517682,True
btc_h4,full,2021-01-01,2023,44.32407577817787,True
btc_h4,full,2021-01-01,2024,-10.768054939966564,True
btc_h4,full,2021-01-01,2025,-28.78214127932036,True
btc_h4,full,2021-01-01,2026,3.539299019219322,False
btc_h4,later,2025-01-01,2025,-28.736222747548958,True
btc_h4,later,2025-01-01,2026,3.4326659727812237,False
btc_h4,validation,2024-01-01,2024,-10.218102142421682,True
btc_h4,later_double_costs,2025-01-01,2025,-31.97311811628244,True
btc_h4,later_double_costs,2025-01-01,2026,0.6809897172391111,False
btc_h4,later_delay2,2025-01-01,2025,-27.01385565578116,True
btc_h4,later_delay2,2025-01-01,2026,0.48377501928658084,False
btc_h12,full,2021-01-01,2021,-31.723908829506943,True
btc_h12,full,2021-01-01,2022,17.838014480917064,True
btc_h12,full,2021-01-01,2023,3.1778167539855406,True
btc_h12,full,2021-01-01,2024,-26.117417084789828,True
btc_h12,full,2021-01-01,2025,-11.256270432310389,True
btc_h12,full,2021-01-01,2026,26.53670719585557,False
btc_h12,later,2025-01-01,2025,-11.341642986957945,True
btc_h12,later,2025-01-01,2026,26.34619494004795,False
btc_h12,validation,2024-01-01,2024,-26.262618696888886,True
btc_h12,later_double_costs,2025-01-01,2025,-12.365896675543443,True
btc_h12,later_double_costs,2025-01-01,2026,25.47857372941533,False
btc_h12,later_delay2,2025-01-01,2025,-8.298249258993373,True
btc_h12,later_delay2,2025-01-01,2026,22.720032745318065,False
btc_h24,full,2021-01-01,2021,-22.598475202767453,True
btc_h24,full,2021-01-01,2022,1.1654453927964603,True
btc_h24,full,2021-01-01,2023,-8.61786027571798,True
btc_h24,full,2021-01-01,2024,36.108236962618754,True
btc_h24,full,2021-01-01,2025,-1.1719866637050602,True
btc_h24,full,2021-01-01,2026,28.628454324193232,False
btc_h24,later,2025-01-01,2025,-1.1096306659127197,True
btc_h24,later,2025-01-01,2026,28.647748172898634,False
btc_h24,validation,2024-01-01,2024,36.20993970391131,True
btc_h24,later_double_costs,2025-01-01,2025,-1.7111037103148985,True
btc_h24,later_double_costs,2025-01-01,2026,28.00300507354516,False
btc_h24,later_delay2,2025-01-01,2025,-0.44005452769264597,True
btc_h24,later_delay2,2025-01-01,2026,29.583264102108764,False
both_h4,full,2021-01-01,2021,48.281373350638844,True
both_h4,full,2021-01-01,2022,82.32792509886426,True
both_h4,full,2021-01-01,2023,11.490566367558163,True
both_h4,full,2021-01-01,2024,2.427098511411252,True
both_h4,full,2021-01-01,2025,-39.72099909936421,True
both_h4,full,2021-01-01,2026,13.357588554475575,False
both_h4,later,2025-01-01,2025,-39.751452877951365,True
both_h4,later,2025-01-01,2026,13.380760860649964,False
both_h4,validation,2024-01-01,2024,3.2497476299810923,True
both_h4,later_double_costs,2025-01-01,2025,-45.25168553313118,True
both_h4,later_double_costs,2025-01-01,2026,6.8305173887352355,False
both_h4,later_delay2,2025-01-01,2025,-38.01809398267202,True
both_h4,later_delay2,2025-01-01,2026,15.052877747200299,False
both_h12,full,2021-01-01,2021,44.403879575720964,True
both_h12,full,2021-01-01,2022,105.56792856956262,True
both_h12,full,2021-01-01,2023,-11.02143756442423,True
both_h12,full,2021-01-01,2024,-14.580531475778413,True
both_h12,full,2021-01-01,2025,-48.73937765484967,True
both_h12,full,2021-01-01,2026,33.122134261368366,False
both_h12,later,2025-01-01,2025,-48.73837184072751,True
both_h12,later,2025-01-01,2026,32.962888209432606,False
both_h12,validation,2024-01-01,2024,-14.439315047852308,True
both_h12,later_double_costs,2025-01-01,2025,-50.37295947030167,True
both_h12,later_double_costs,2025-01-01,2026,30.767559164089242,False
both_h12,later_delay2,2025-01-01,2025,-50.58657962516823,True
both_h12,later_delay2,2025-01-01,2026,34.95844847539422,False
both_h24,full,2021-01-01,2021,81.73830599072195,True
both_h24,full,2021-01-01,2022,31.865580681119265,True
both_h24,full,2021-01-01,2023,-17.60544038437546,True
both_h24,full,2021-01-01,2024,24.25343858168705,True
both_h24,full,2021-01-01,2025,21.867569992470948,True
both_h24,full,2021-01-01,2026,28.295183720488293,False
both_h24,later,2025-01-01,2025,21.90621578588068,True
both_h24,later,2025-01-01,2026,28.26455951012221,False
both_h24,validation,2024-01-01,2024,24.107368861220777,True
both_h24,later_double_costs,2025-01-01,2025,20.001791767384457,True
both_h24,later_double_costs,2025-01-01,2026,27.281054148956652,False
both_h24,later_delay2,2025-01-01,2025,12.748205914248123,True
both_h24,later_delay2,2025-01-01,2026,33.43852475473539,False
btc_h24,full_double_costs,2021-01-01,2021,-23.242534649803513,True
btc_h24,full_double_costs,2021-01-01,2022,0.6303175739419853,True
btc_h24,full_double_costs,2021-01-01,2023,-9.390111372707654,True
btc_h24,full_double_costs,2021-01-01,2024,35.74077511471852,True
btc_h24,full_double_costs,2021-01-01,2025,-1.716525968851046,True
btc_h24,full_double_costs,2021-01-01,2026,28.028161538444564,False
btc_h24,later_capital1000,2025-01-01,2025,-1.4580303195793176,True
btc_h24,later_capital1000,2025-01-01,2026,27.92793575099326,False
btc_h24,origin365,2021-01-01,2021,-22.598475202767453,True
btc_h24,origin365,2022-01-01,2022,1.2103648666350164,True
btc_h24,origin365,2023-01-01,2023,-8.618672652540049,True
btc_h24,origin365,2025-01-01,2025,-1.1096306659127197,True
btc_h24,origin365,2022-07-01,2022,-13.760713390265366,False
btc_h24,origin365,2022-07-01,2023,-19.972485169038478,False
btc_h24,origin365,2023-07-01,2023,14.180828676030298,False
btc_h24,origin365,2023-07-01,2024,5.656729590875242,False
btc_h24,origin365,2024-07-01,2024,29.072805850522943,False
btc_h24,origin365,2024-07-01,2025,-3.3470441834341558,False
ratio30_125,full_double_costs,2021-01-01,2021,23.84766386175008,True
ratio30_125,full_double_costs,2021-01-01,2022,16.346105311220626,True
ratio30_125,full_double_costs,2021-01-01,2023,-6.141486348761216,True
ratio30_125,full_double_costs,2021-01-01,2024,-16.648032369035725,True
ratio30_125,full_double_costs,2021-01-01,2025,46.99606533913765,True
ratio30_125,full_double_costs,2021-01-01,2026,6.577064507321673,False
ratio30_125,later_capital1000,2025-01-01,2025,47.981006858425815,True
ratio30_125,later_capital1000,2025-01-01,2026,7.580852405823957,False
ratio30_125,origin365,2021-01-01,2021,26.02984156330912,True
ratio30_125,origin365,2022-01-01,2022,17.39648842314967,True
ratio30_125,origin365,2023-01-01,2023,-4.843313811802574,True
ratio30_125,origin365,2025-01-01,2025,48.843836561122636,True
ratio30_125,origin365,2022-07-01,2022,8.067268684563755,False
ratio30_125,origin365,2022-07-01,2023,-3.0176761279623876,False
ratio30_125,origin365,2023-07-01,2023,0.2589442175191081,False
ratio30_125,origin365,2023-07-01,2024,-20.821459689596445,False
ratio30_125,origin365,2024-07-01,2024,6.980781887279064,False
ratio30_125,origin365,2024-07-01,2025,29.20764998901719,False
