model,period,start,return_pct,cagr_pct,max_mark_close_drawdown_pct,completed_episodes,order_fills,fees,funding_cashflow,max_gross,qualified
ratio30_125,full,2021-01-01,89.73042659516213,11.969770827754056,-31.37848275985907,47,188,794.5740083788851,-157.09072959299473,1.7867981875140633,True
ratio30_125,later,2025-01-01,59.325956057584264,32.28836185909771,-10.669056227136108,11,44,183.733929263475,-2.454117570055482,1.486115517256084,True
ratio30_125,validation,2024-01-01,-15.44875349731587,-15.419673200662476,-23.365859227193976,10,40,109.155409739969,8.910507728449895,1.5395482041114161,True
ratio30_125,later_double_costs,2025-01-01,56.65323230882269,30.950721914956603,-10.966191531841352,11,44,364.495316837108,-2.4966047046432287,1.4836205691484503,True
ratio30_125,later_delay2,2025-01-01,62.60181878189699,33.91570130765582,-9.19767353009765,11,44,184.315840482299,-2.99306838800358,1.4671928853468534,True
btc_h4,full,2021-01-01,4.017301650147598,0.6977406917598517,-53.836775495180646,185,370,2138.6064748920794,-2308.8004223462517,1.2224279966536855,True
btc_h4,later,2025-01-01,-26.28997531488534,-16.74355051933023,-35.32171200082607,62,124,464.48597434385005,-6.737382924687478,1.1323800263532766,True
btc_h4,validation,2024-01-01,-10.218102142421625,-10.19826940978188,-39.79073776777287,36,72,324.271782292345,-345.83717835984385,1.1660376003838464,True
btc_h4,later_double_costs,2025-01-01,-31.509862045695925,-20.337273240208077,-39.91710320975375,62,124,897.2281635532,-6.5464910164426175,1.1388548799478737,True
btc_h4,later_delay2,2025-01-01,-26.660766921903345,-16.99540217134161,-37.194795723379535,62,124,461.61114057784505,-7.58644454249903,1.1227090426218234,True
btc_h12,full,2021-01-01,-31.12895462967128,-6.371540887411154,-63.93434314598678,65,130,476.8099494218195,-2051.1871385563204,1.6687617617694068,True
btc_h12,later,2025-01-01,12.016460582341848,7.054661514085003,-22.064511512960294,17,34,157.23379767896,-68.09416996689976,1.1496759744257379,True
btc_h12,validation,2024-01-01,-26.262618696888897,-26.216569788923806,-45.085735383942726,15,30,125.939178510955,-415.9157760679092,1.6713278108032092,True
btc_h12,later_double_costs,2025-01-01,9.962022952090056,5.870790927769143,-22.446276368217845,17,34,311.7905179923,-68.18752565874283,1.1504170404871739,True
btc_h12,later_delay2,2025-01-01,12.536418537393113,7.352909044701406,-18.82872817096899,17,34,158.29526486618002,-67.08021331454331,1.177119806772483,True
btc_h24,full,2021-01-01,23.806817975161355,3.841898649144504,-57.29786864444674,33,66,270.2097624425775,-2570.5148847983687,1.2637544686275608,True
btc_h24,later,2025-01-01,27.22023330816601,15.560948544125107,-23.659733967546813,9,18,90.469886753875,-75.3352760195351,1.1453960028900978,True
btc_h24,validation,2024-01-01,36.209939703911445,36.123711734089945,-16.58466383017928,5,10,55.593631026715,-718.7593283121273,1.0309638399874064,True
btc_h24,later_double_costs,2025-01-01,25.81274090441703,14.791196752118797,-23.971106323798285,9,18,179.6566298211,-75.53233887720123,1.1461319304813706,True
btc_h24,later_delay2,2025-01-01,29.013027081295427,16.53651396776139,-23.63049520514299,9,18,90.78887545491,-76.65241045557116,1.1345285357865345,True
