symbol,kline_rows,start,end,duplicates,funding_rows
BTCUSDT,2373,2020-01-01T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7119
ETHUSDT,2373,2020-01-01T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7119
BNBUSDT,2333,2020-02-10T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,6998
XRPUSDT,2363,2020-01-06T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7103
ADAUSDT,2343,2020-01-31T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7063
LTCUSDT,2360,2020-01-09T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7094
BCHUSDT,2373,2020-01-01T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7119
EOSUSDT,1961,2020-01-08T00:00:00+00:00,2025-05-21T00:00:00+00:00,0,7097
DOGEUSDT,2182,2020-07-10T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,6545
LINKUSDT,2357,2020-01-17T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7070
DOTUSDT,2139,2020-08-22T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,6422
TRXUSDT,2354,2020-01-15T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,7076
SOLUSDT,2111,2020-09-14T00:00:00+00:00,2026-06-30T00:00:00+00:00,0,6424
