audit,period,total_return,cagr,sharpe,max_drawdown,annual_turnover,average_gross,max_gross,max_stress_gross,minimum_margin_buffer,liquidations,forced_exits,costs,funding_pnl,financing_drag,rebalance_events,average_risk_budget,final_equity
base,development,4.325230053478725,0.7478135580717413,1.4320474607171239,-0.29123820704957404,13.250064512548581,0.1275974868104794,0.8800044535338106,0.8528058883702107,0.5978629913386949,0,0,4527.121133347697,-6217.912986370858,0.0,338,0.12606870994910757,53252.300534787246
base,validation_2024,0.6326102625886165,0.6331420374658383,1.429785938151806,-0.19270976346592894,16.607805599758475,0.1597065540606641,1.151979168841657,1.1546955936582626,0.6916660290768443,0,0,3344.448765572744,-2060.444760745344,18.119760038109806,178,0.1593334751882183,16326.102625886166
base,holdout_2025,-0.05149586125992067,-0.05166701925438444,-0.236197602221084,-0.1348506400833841,21.14696325255463,0.2093894263508593,0.9567893431219765,0.9561215901603836,0.7642984258979376,0,1,5687.598772310818,-884.5890868509973,0.0,187,0.20917426571096107,9485.041387400794
base,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
base,full,7.246318918613717,0.4683449212293116,1.1788224698565064,-0.29123820704957404,14.085201517731745,0.13682062155542685,1.151979168841657,1.1546955936582626,0.5978629913386949,0,1,13559.168671231258,-9162.946833967198,18.119760038109806,703,0.13587937035259665,82463.18918613717
severe,development,2.601318328023961,0.5338400280743927,1.2340071726613515,-0.3090239953988153,12.534954919988492,0.1214096012482652,0.8856495358641027,0.8595262529768207,0.5904756661118495,0,0,6139.754512072684,-9283.872205100051,0.0,335,0.11971756954536768,36013.18328023961
severe,validation_2024,0.11496583683964023,0.11504645258720059,0.5855320611643782,-0.197355576170411,9.103692707941633,0.09709706082919153,1.1414342149907124,1.1487976724952969,0.6764554748189646,0,0,2190.106957808741,-1368.8310443948924,2.219401634030238,110,0.09594279827201734,11149.658368396402
severe,holdout_2025,-0.05683991139346656,-0.05702829181808955,-0.4249816973817298,-0.1015554584830275,14.901840196028107,0.16004092104224724,0.5886410879905599,0.5865432721063855,0.8271345085172562,0,1,3608.5243601957336,-583.2445561146169,0.0,187,0.15989148567214642,9431.600886065335
severe,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
severe,full,2.7871149411317924,0.27436997919421646,0.9025767314538962,-0.3090239953988153,11.19658940788651,0.11305230384193062,1.1414342149907124,1.1487976724952969,0.5904756661118495,0,1,11938.385830077157,-11235.947805609561,2.219401634030238,632,0.11189147737422492,37871.14941131792
extreme,development,0.9404490571574038,0.24772522224019888,0.823294048756296,-0.33395501807744654,11.548554500754618,0.11139621066147098,0.8776417487715079,0.8481799695828096,0.5502956731967963,0,0,5918.023836820825,-9324.002810272435,0.0,308,0.10964575229720092,19404.49057157404
extreme,validation_2024,0.060587047917434855,0.060628497265658554,0.9246945422696319,-0.04622913154451136,4.881221737509841,0.05884420610606326,0.19154503678209878,0.16736241067044544,0.9321262595921208,0,0,964.5816970358004,-465.51040410840994,0.0,86,0.05821782913283483,10605.87047917435
extreme,holdout_2025,-0.016613998601622604,-0.01667023450771632,-0.4400963357203323,-0.03049454433484855,4.333409162116563,0.057709149981587736,0.14324213108282288,0.12669528245157924,0.9459392073686618,0,1,889.7618692719809,-121.39846841955179,0.0,74,0.05732033345480837,9833.860013983774
extreme,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
extreme,full,1.0238232765537698,0.13696312980466607,0.635613474460095,-0.33395501807744654,7.972644812077305,0.0820028250385697,0.8776417487715079,0.8481799695828096,0.5502956731967963,0,1,7772.367403128606,-9910.911682800397,0.0,468,0.08086285298408451,20238.232765537698
delay_1d,development,3.2364493424254652,0.6193126133708782,1.4054302383543527,-0.2818687492334977,13.363167040355306,0.1283865584091954,0.8627686736353373,0.8460296485331994,0.5964672977903812,0,0,3751.537583049659,-5400.468884392848,0.0,357,0.12686648641756085,42364.49342425465
delay_1d,validation_2024,0.6363795583767722,0.6369150689568184,1.2964284304404166,-0.21862322652003208,17.683377580016785,0.15984905254050388,1.1545180662898182,1.1636745596711202,0.6929113915187017,0,0,2853.6550044277833,-1661.5223677629751,20.785162258454502,191,0.15955332458706267,16363.795583767722
delay_1d,holdout_2025,-0.006496800297014715,-0.006518904434139827,-0.016661285136310384,-0.059043638909421214,12.760696970643018,0.14239137315272224,0.46719070553483794,0.46291656164621797,0.8759363013753235,0,1,2714.894806373045,-388.5069930510929,0.0,188,0.14227783518101583,9935.031997029853
delay_1d,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
delay_1d,full,5.8874004316135675,0.42098320769476416,1.1621896170263457,-0.2818687492334977,12.820853068877813,0.12509261877859343,1.1545180662898182,1.1636745596711202,0.5964672977903812,0,1,9320.087393850488,-7450.498245206916,20.7851622584545,736,0.12418870416899097,68874.00431613567
