policy,promotable,factor_mix,top_k,risk_profile,eligible,score,development_total_return,development_cagr,development_sharpe,development_max_drawdown,development_annual_turnover,development_average_gross,development_max_gross,development_max_stress_gross,development_minimum_margin_buffer,development_liquidations,development_forced_exits,development_costs,development_funding_pnl,development_financing_drag,development_rebalance_events,development_average_risk_budget,development_final_equity,development_severe_cagr,development_extreme_cagr,development_top_positive_asset_pnl_share
diversified_growth_k4_growth,True,diversified_growth,4,growth,False,0.8209010599648654,4.325230053478725,0.7478135580717413,1.4320474607171239,-0.29123820704957404,13.250064512548581,0.1275974868104794,0.8800044535338106,0.8528058883702107,0.5978629913386949,0,0,4527.121133347697,-6217.912986370858,0.0,338,0.12606870994910757,53252.300534787246,0.5338400280743927,0.24772522224019888,0.567730066389633
diversified_growth_k3_growth,True,diversified_growth,3,growth,False,0.7708523940445454,4.031043078923541,0.7149652871273255,1.2625419879150332,-0.29839731311403905,14.527191031673349,0.12680471775725485,0.8130844499171554,0.7788992624057738,0.6227143819709169,0,0,5065.772408323918,-5688.778428671675,0.0,329,0.12518331315772122,50310.43078923541,0.497333379922384,0.32920780747000866,0.5845789827951372
diversified_growth_k3_convex,True,diversified_growth,3,convex,False,0.6502117769350426,3.012380358578117,0.5901995864179892,1.2265756095237095,-0.24338058751656433,14.534535870979996,0.12380060485991148,0.8608547147475225,0.8251721040241428,0.7466024595547054,0,0,4202.295305849055,-4055.092743507785,0.0,520,0.12229543269207946,40123.80358578117,0.40380470992570805,0.3264330164805034,0.539648957694416
growth_quality_k3_constant_150,False,growth_quality,3,constant_150,False,0.6353656561241637,3.3917332506548927,0.638891639476683,1.1515595983378215,-0.3831775677777244,14.578848931084188,0.1449627921322298,1.550919244054642,1.6099778252857797,0.5874636592676329,0,0,4142.159213581765,-5305.240821862621,86.21594513856996,271,0.1456277639489621,43917.332506548926,0.372637907560899,0.07814003508617451,0.6148832786274808
diversified_growth_k4_convex,True,diversified_growth,4,convex,False,0.6344985000520837,2.879482963069342,0.5724174480242266,1.346035210844618,-0.26737415725348124,11.526207266676215,0.10811703330388771,0.9196528716685025,0.9028327846031082,0.7090521880760916,0,0,2934.110241621144,-4321.75360721896,0.0,418,0.10637260276916745,38794.82963069342,0.4233384574118315,0.1913189499032646,0.5274169545190159
diversified_growth_k3_balanced,True,diversified_growth,3,balanced,False,0.6264798682555411,2.8953280552161478,0.5745586759296402,1.1752334634175454,-0.2603687784889437,12.902125562443262,0.11394272335671252,0.721154477046135,0.5866126908395696,0.7351521297240553,0,0,3657.4167226237805,-4155.954921853225,0.0,455,0.11235189643753564,38953.28055216148,0.42045605737744185,0.2664146281020239,0.5190286662610715
diversified_growth_k4_balanced,True,diversified_growth,4,balanced,False,0.6227115606136875,2.7935463144347015,0.5607017385324657,1.3211588574757613,-0.25147230666016585,12.466162775040507,0.11805712543357152,0.6883200337333494,0.6184293889941714,0.6892953810789685,0,0,3387.5522460784982,-4363.869364476652,0.0,444,0.11580639350540296,37935.46314434701,0.41343611537845515,0.18228876211851608,0.475381744936236
quality_k3_growth,True,quality,3,growth,False,0.5471668658147598,2.5938687050040774,0.5327800026068394,1.0619293287940546,-0.3001562680686287,14.856468722343637,0.12069944991429352,0.9230057746566703,0.9058007548479691,0.6190181602257585,0,0,4238.46066684811,-4700.032117315141,0.0,354,0.11951826150748082,35938.687050040775,0.3326422724600948,0.16999746324981246,0.6193703658921388
growth_quality_k4_growth,True,growth_quality,4,growth,False,0.511863048540221,2.221414635227249,0.4778021332131004,1.2794948535300792,-0.3095990675716943,10.54180533377529,0.11557393275791894,0.8524131102951598,0.8214382973044074,0.5483246582228354,0,0,2417.8375174910175,-3918.4139896771035,0.0,240,0.1138107866170817,32214.146352272488,0.33282950751978,0.14221609129814983,0.524793368595516
quality_k4_growth,True,quality,4,growth,False,0.47952257282060273,2.1224320099372487,0.4624845140754723,1.1100435119103071,-0.29745125472747813,12.526179904130922,0.1143432332283215,0.9049774532758535,0.8866444224527775,0.5522949559021681,0,0,3157.5576380293323,-4123.4411842501995,0.0,308,0.11315880240842972,31224.320099372486,0.30009584974079373,0.12499278185332674,0.5096455936925687
growth_quality_k3_growth,True,growth_quality,3,growth,False,0.4593585236882863,2.0491828713828517,0.45093963138123905,1.131992727394804,-0.32587175669804225,11.170807205288344,0.1198721717840529,0.8896440450328487,0.85975456453155,0.6243989767893362,0,0,2295.3037682969675,-3319.772221757805,0.0,280,0.11716327398232837,30491.828713828516,0.27331531655858066,0.10091360553900075,0.5128968802182383
