candidate,eligible,score,periods_positive,cagr,sharpe,dd,turnover,severe,selection_cagr,selection_sharpe,selection_dd
sector_l126-252_k4_s00__r20__v15__g100,False,0.10347418995513662,True,True,True,True,17.887261646749916,True,0.08145497452141193,0.6661148780801224,-0.17803340485025088
sector_l126-252_k4_s00__r20__v18__g100,False,0.10263328547767357,True,True,True,True,18.441417957206255,True,0.08461971677344793,0.652152674782839,-0.19173520544568
sector_l126-252_k4_s00__r10__v15__g100,False,0.10238011118913035,True,True,True,True,19.736493405324023,True,0.08201606868846545,0.6680554663352657,-0.178033404850251
sector_l126-252_k4_s00__r20__v18__g114,False,0.10004649854020312,True,True,True,True,20.722993626999166,True,0.08921123399143416,0.6251331087956844,-0.20636701802533552
sector_l126-252_k4_s00__r10__v18__g100,False,0.09941037781372565,True,True,True,True,20.4628722582355,True,0.08497279460738816,0.6513707502480762,-0.2015774637348977
sector_l126-252_k4_s00__r10__v12__g100,False,0.09875306002712342,True,True,True,True,18.641054576324127,True,0.07496833751899978,0.6730919642772225,-0.16588946228849666
sector_l126-252_k4_s00__r20__v12__g100,False,0.09853708402643888,True,True,True,True,17.056967354751922,True,0.0738806144684514,0.6659685625601386,-0.16588946228849644
sector_l126-252_k4_s00__r10__v18__g114,False,0.09810125765292578,True,True,True,True,22.907443924417333,True,0.08969191374232333,0.6258647968674974,-0.20846461234486635
sector_l126-252_k4_s00__r20__v18__g125,False,0.09695005222666253,True,True,True,True,22.19283810458308,True,0.09104971721933142,0.6043642169148592,-0.21562165719714477
sector_l126-252_k4_s00__r10__v15__g114,False,0.09678884450976774,True,True,True,True,21.936308951512654,True,0.08447781532755361,0.6329344500547873,-0.19364071247834624
sector_l126-252_k4_s00__r20__v15__g114,False,0.09673894561646502,True,True,True,True,20.011999044594333,True,0.08322095873191393,0.6257609280089738,-0.19364071247834636
sector_l126-252_k4_s00__r10__v18__g125,False,0.09592430497025449,True,True,True,True,24.430955710187625,True,0.09191474764770291,0.6078376161231097,-0.2156216571971451
sector_l63-126-252_k4_s00__r20__v15__g100,False,0.09560391723267131,True,True,True,True,18.830051595028117,True,0.07786625493418597,0.6377442814867735,-0.18137809503442592
sector_l63-126-252_k4_s00__r20__v18__g100,False,0.09448513813926458,True,True,True,True,19.43110589209461,True,0.08045750456025424,0.6211426325579621,-0.1910368252312752
sector_l126-252_k4_s00__r10__v15__g125,False,0.09409342223303332,True,True,True,True,23.301318220405157,True,0.08616869613210931,0.618936389111306,-0.2044506305986762
sector_l126-252_k4_s00__r20__v15__g125,False,0.09401650967574528,True,True,True,True,21.3212091934399,True,0.08483051649877416,0.6117479696021246,-0.2044506305986763
sector_l63-126-252_k4_s00__r10__v15__g100,False,0.09252053350523473,True,True,True,True,20.534259620779352,True,0.07760770604000489,0.6331085191294922,-0.1857584321796002
sector_l126-252_k4_s00__r20__v12__g114,False,0.09076962021885321,True,True,True,True,18.69399581856728,True,0.07351917658467855,0.6277861536830227,-0.17889450610373536
sector_l63-126-252_k4_s00__r20__v12__g100,False,0.09068847550142718,True,True,True,True,17.957219315221014,True,0.07023947239773332,0.6337873139768255,-0.16648339319178462
sector_l63-126-252_k4_s00__r20__v18__g114,False,0.09041475008045205,True,True,False,True,21.832711671083242,True,0.08460341803001303,0.5938278136443755,-0.21159158428610203
sector_l63-126-252_k4_s00__r10__v12__g100,False,0.09038766152444354,True,True,True,True,19.39388726589499,True,0.07083163260178793,0.6365588238419518,-0.16470644130429724
sector_l126-252_k4_s00__r10__v12__g114,False,0.08962456184332375,True,True,True,True,20.36095720781396,True,0.07392213775991396,0.6289755720678405,-0.17889450610373536
sector_l63-126-252_k4_s00__r20__v15__g114,False,0.08838891366252334,True,True,False,True,21.092184606417725,True,0.07944941040630527,0.5981239837101965,-0.1985380700558923
sector_l63-126-252_k4_s00__r10__v18__g100,False,0.08825539374458438,True,True,True,True,21.313886682135266,True,0.07995612389770312,0.6141628357840928,-0.2120208469959517
sector_l63-126-252_k4_s00__r10__v15__g114,False,0.08775725682974286,True,True,False,True,22.85064390804032,True,0.0799542859565725,0.5998853391555101,-0.19556612756226888
sector_l63-126-252_k4_s00__r20__v18__g125,False,0.08716111417920208,True,True,False,True,23.366996408028395,True,0.08672389904275302,0.5763816208089036,-0.2255596702427528
sector_l63-126-252_k4_s00__r10__v18__g114,False,0.08606111611713395,True,True,False,True,23.846292166033802,True,0.08414484106942965,0.5881564656832665,-0.22035386236392385
sector_l126-252_k4_s00__r20__v12__g125,False,0.08585434733260094,True,True,True,True,19.489773568380265,True,0.07253033800566677,0.6053590611685961,-0.18481415481030117
sector_l63-126-252_k4_s00__r10__v18__g125,False,0.08513524065559262,True,True,False,True,25.439091554467208,True,0.0865959931343685,0.5734331455348406,-0.2224331698519516
sector_l63-126-252_k4_s00__r20__v15__g125,False,0.08431114770331513,True,True,False,True,22.446524144026267,True,0.08022492054860475,0.5791163609556348,-0.209192565312179
sector_l63-126-252_k4_s00__r10__v15__g125,False,0.08391469678685519,True,True,False,True,24.24235908236874,True,0.08092796762553944,0.581846098181469,-0.2063701438297495
sector_l126-252_k4_s00__r10__v12__g125,False,0.08374872332362515,True,True,True,True,21.199266869847126,True,0.0724328414590596,0.6023727195595787,-0.18481415481030128
sector_l21-63-126-252_k4_s00__r20__v15__g100,False,0.08143949943258756,True,True,False,True,21.31076755695471,True,0.0721685634463527,0.5920430746369902,-0.19081735947006306
sector_l63-126-252_k4_s00__r20__v12__g114,False,0.08143290578553443,True,True,False,True,19.610810266311905,True,0.06927320675269932,0.5926691111469886,-0.18330934543701238
sector_l126-252_k4_s00__r5__v15__g100,False,0.08099754529159106,True,True,True,True,21.97131527255455,True,0.07425312004299767,0.604021813542408,-0.21124293888728574
sector_l21-63-126-252_k4_s00__r20__v18__g100,False,0.08083977737803263,True,True,False,True,22.037760125445864,True,0.0742673393270128,0.5741806361899556,-0.1920524362835324
sector_l126-252_k2_s00__r20__v15__g100,False,0.0807217311517126,True,True,False,True,24.828081466856116,True,0.07355909539492345,0.590366606499614,-0.18030628950877425
sector_l63-126-252_k4_s00__r10__v12__g114,False,0.08010772348162541,True,True,False,True,21.116484472263426,True,0.0692443294559435,0.5902022277016011,-0.18026896181476515
sector_l126-252_k2_s00__r20__v18__g100,False,0.08005249193456998,True,True,False,True,25.35377577694536,True,0.07662536243809503,0.5778306686397098,-0.19334774393700438
sector_l63-126-252_k3_s00__r20__v15__g100,False,0.07932616102370058,True,True,False,True,23.359918934171112,True,0.07231452689381923,0.5892907843733912,-0.19038350248857783
sector_l126-252_k2_s00__r10__v15__g100,False,0.0790679733181353,True,True,False,True,25.908700484150113,True,0.07341872639344627,0.5860389083515521,-0.1803062895087738
sector_l63-126-252_k3_s00__r20__v18__g100,False,0.07883260446736504,True,True,False,True,23.981114479998094,True,0.07486415866619,0.5749129889723286,-0.196944924107065
sector_l21-63-126-252_k4_s00__r10__v15__g100,False,0.07848977110093973,True,True,False,True,23.226018432558185,True,0.07157959347519416,0.5846462644086473,-0.18885620255040647
sector_l63-126-252_k3_s00__r10__v15__g100,False,0.07791104823616148,True,True,False,True,24.71262607192258,True,0.07244113459679569,0.5874006508457487,-0.1903835024885766
sector_l21-63-126-252_k4_s00__r20__v12__g100,False,0.07780826922366947,True,True,False,True,20.220889706424813,True,0.06537852667038324,0.5907228857644256,-0.17614437544487682
sector_l126-252_k2_s00__r10__v18__g100,False,0.07724475520829335,True,True,False,True,26.55359550839082,True,0.07592897797604792,0.5687153433118703,-0.19334774393700516
sector_l21-63-126-252_k4_s00__r10__v12__g100,False,0.07678281174904145,True,True,False,True,21.849204265638672,True,0.06564266945975183,0.5905595552501157,-0.17377739313388862
sector_l126-252_k4_s00__r5__v12__g100,False,0.07676551363073074,True,True,False,True,20.537293966663437,True,0.06646648096504615,0.596115803528652,-0.19183502480344783
sector_l126-252_k4_s00__r5__v18__g100,False,0.07652527872754722,True,True,False,True,22.983484510289475,True,0.07646035714162647,0.5852786196929525,-0.23652970582056676
sector_l63-126-252_k3_s00__r10__v18__g100,False,0.07644299016155327,True,True,False,True,25.513601636008197,True,0.07473933779468434,0.5703153649584104,-0.19876188328642597
sector_l126-252_k3_s00__r20__v15__g100,False,0.07612123686024636,True,True,False,True,23.064887265110947,True,0.06980851146807932,0.5672201466520985,-0.18229601338621249
sector_l126-252_k3_s00__r10__v15__g100,False,0.07609499749824171,True,True,False,True,24.372959169498014,True,0.0706639016312034,0.5714845704446815,-0.18229601338621204
sector_l63-126-252_k4_s00__r20__v12__g125,False,0.07581564417015672,True,True,False,True,20.38146938489707,True,0.0683466070051364,0.5718910741781154,-0.1955906724526275
sector_l126-252_k3_s00__r20__v18__g100,False,0.07564274993900483,True,True,False,True,23.6317047403475,True,0.07253390891738731,0.5546736664420066,-0.1915121392149043
sector_l126-252_k2_s00__r20__v18__g114,False,0.07533161672560067,True,True,False,True,28.707383400056695,True,0.08020486672740024,0.550709108134886,-0.2082451827682099
sector_l63-126-252_k3_s00__r20__v12__g100,False,0.07478709596089442,True,True,False,True,22.36449677590476,True,0.06475493226413431,0.5817993957965605,-0.1718885273799413
sector_l21-63-126-252_k4_s00__r20__v18__g114,False,0.07467883625001637,True,True,False,True,24.71974379862128,True,0.07791634173917905,0.5477486509234707,-0.22195084521925657
sector_l63-126-252_k3_s00__r10__v12__g100,False,0.07451189823919992,True,True,False,True,23.518812205435268,True,0.06536387342452721,0.5845011612709898,-0.1718885273799401
sector_l126-252_k3_s00__r10__v18__g100,False,0.07396564879746455,True,True,False,True,25.098707690475248,True,0.07317245914258996,0.5562240064918658,-0.19820335535891165
sector_l126-252_k2_s00__r20__v12__g100,False,0.07385568844982712,True,True,False,True,23.612487875252096,True,0.06490860454562908,0.5781416435420216,-0.16836395049834685
sector_l126-252_k4_s00__r5__v18__g114,False,0.073836978980998,True,True,False,True,25.543078953534728,True,0.0805567519984216,0.5616194812525599,-0.24892428126096589
sector_l21-63-126-252_k4_s00__r20__v15__g114,False,0.07382802391309051,True,True,False,True,23.77661848703527,True,0.073572069083361,0.5550034576301297,-0.2097851496416545
sector_l126-252_k3_s00__r10__v12__g100,False,0.07382351089538047,True,True,False,True,23.0582345652323,True,0.0641973038929129,0.5740857023210041,-0.1648275244293369
sector_l126-252_k2_s00__r10__v12__g100,False,0.07380456519335712,True,True,False,True,24.53496465722682,True,0.0655244349275741,0.5806968749776191,-0.16836395049834718
sector_l21-63-126-252_k4_s00__r10__v18__g100,False,0.07362650971603114,True,True,False,True,24.132388448184283,True,0.07350545191059776,0.5651675555484638,-0.21508872867485807
sector_l63-126-252_k4_s00__r10__v12__g125,False,0.07354920166090287,True,True,False,True,21.931736661518425,True,0.06779321206878519,0.5650722563676377,-0.1921299958875179
sector_l126-252_k2_s00__r10__v18__g114,False,0.07331042900723969,True,True,False,True,29.978025057535888,True,0.07994780297965498,0.5457742850035208,-0.2082451827682099
sector_l126-252_k4_s00__r5__v15__g114,False,0.07283479558306188,True,True,False,True,24.272054105469543,True,0.0750372346440813,0.5613991753808978,-0.22713534995759765
sector_l126-252_k3_s00__r20__v12__g100,False,0.07281252357584135,True,True,False,True,21.926495435646395,True,0.06293945158346492,0.5652369609242359,-0.16482752442933846
sector_l63-126-252_k3_s00__r20__v18__g114,False,0.0724505413919578,True,True,False,True,27.05320222493237,True,0.0781396399672667,0.5454549124749609,-0.22120925065248398
sector_l21-63-126-252_k4_s00__r10__v15__g114,False,0.07232906212694976,True,True,False,True,25.758390187024883,True,0.07371490452987395,0.5540078473805784,-0.20685491302638104
sector_l63-126-252_k3_s00__r20__v15__g114,False,0.0714110945928814,True,True,False,True,26.21226312515189,True,0.07336984802145108,0.5503423447477752,-0.20520483185463534
sector_l21-63-126-252_k4_s00__r20__v18__g125,False,0.07112684482359431,True,True,False,True,26.42522867888435,True,0.07988120170494373,0.5319043692497303,-0.23679710084958727
sector_l63-126-252_k3_s00__r10__v15__g114,False,0.07088330525264691,True,True,False,True,27.609853112287794,True,0.0740049957214175,0.5526888742171238,-0.20520483185463445
sector_l63-126-252_k3_s00__r10__v18__g114,False,0.07071830256785462,True,True,False,True,28.652874105993718,True,0.07822396203133364,0.543286022403873,-0.22120925065248398
sector_l63-126-252_k4_s00__r5__v15__g100,False,0.07068450717941004,True,True,False,True,22.68575136995392,True,0.06999539638428653,0.5702402181363301,-0.22432773099037062
sector_l126-252_k4_s00__r5__v18__g125,False,0.07063391892466364,True,True,False,False,27.148469217575578,True,0.08200915512878648,0.5415430699139239,-0.2558738265195978
sector_l126-252_k2_s00__r20__v15__g114,False,0.0705376877435625,True,True,False,True,27.825081376127137,True,0.07344299752323735,0.5451479946561781,-0.19730018579443698
sector_l21-63-126-252_k4_s00__r10__v18__g114,False,0.07043982390513696,True,True,False,True,26.981742970064214,True,0.07706776961640505,0.5392933524560101,-0.22383691991203258
sector_l126-252_k2_s00__r10__v15__g114,False,0.06999148229910153,True,True,False,True,28.941751203518074,True,0.07392499931037189,0.5460326206141329,-0.1973001857944372
sector_l126-252_k2_s00__r20__v18__g125,False,0.0697510142656186,True,True,False,True,30.86277608043138,True,0.08078015149960094,0.5272438836923956,-0.21927166348527016
sector_l126-252_k3_s00__r20__v18__g114,False,0.0693943848671101,True,True,False,True,26.69085016287524,True,0.07543062467693784,0.5249386266539119,-0.21226168208229135
