stage,model,full_return_pct,full_cagr_pct,full_max_mark_close_drawdown_pct,full_completed_episodes,later_return_pct,later_cagr_pct,later_max_mark_close_drawdown_pct,later_completed_episodes,validation_return_pct,validation_cagr_pct,validation_max_mark_close_drawdown_pct,validation_completed_episodes,later_double_costs_return_pct,later_double_costs_cagr_pct,later_double_costs_max_mark_close_drawdown_pct,later_double_costs_completed_episodes,later_delay2_return_pct,later_delay2_cagr_pct,later_delay2_max_mark_close_drawdown_pct,later_delay2_completed_episodes,full_max_mark_gross,all_reported_scenarios_qualified
holding,hold30_125,89.73042659516213,11.969770827754056,-31.37848275985907,47,59.325956057584264,32.28836185909771,-10.669056227136108,11,-15.44875349731587,-15.419673200662476,-23.365859227193976,10,56.65323230882269,30.950721914956603,-10.966191531841352,11,62.60181878189699,33.91570130765582,-9.19767353009765,11,1.7867981875140633,True
holding,hold14_100,36.387199148524616,5.631196656464232,-29.819841747329313,70,30.914893966490297,17.56553439452464,-8.573287076517655,20,-10.846888526397358,-10.825910425039698,-20.293593848433645,12,27.872289083548285,15.916402024124077,-8.992559956765255,20,33.654236925617155,19.037249175502623,-7.733595998769416,20,1.4416357034751168,True
holding,hold14_125,44.30669596191053,6.6889814237707235,-35.870122885431954,70,39.633160181809046,22.208229106392107,-10.53329076887085,20,-13.574033555070198,-13.548193638945916,-24.808801867512585,12,35.38205198951081,19.959329036698726,-11.032835477890035,20,43.107149933852455,24.02579211042102,-9.581522108670637,20,1.8583448818401547,True
holding,hold30_100,71.28521101693511,9.966305224137795,-25.85890406965321,47,45.826607827401425,25.436325918822856,-8.683053431537868,11,-12.401292621223547,-12.377522154141463,-19.03657805789969,10,44.12680308247494,24.555911465225666,-8.863009333969584,11,48.115033792703585,26.61517249999965,-7.43798094246274,11,1.3907453422067952,True
holding,hold60_100,41.62403526547258,6.336141421424513,-30.497041306932047,39,42.42721907043041,23.6714565682141,-9.302178250840498,8,-13.247140764070354,-13.221874438044434,-19.443144485488904,9,41.25122438822804,23.057006620548414,-9.497511056318153,8,44.610446670633166,24.806834826347735,-7.611881739811088,8,1.3907453422067952,True
holding,hold60_125,51.44452644225337,7.602159226755489,-35.75858387444122,39,54.66926363342548,29.951888335955566,-11.191723403117237,8,-16.41062029937097,-16.379910342847825,-23.804348655183627,9,52.92496826031798,29.0694851567026,-11.511302728061079,8,57.418081341752284,31.334436547992617,-9.193204998899795,8,1.7867981875140633,True
holding,hold90_100,38.2180961279909,5.880153831709745,-30.497041306932047,39,38.87057091389716,21.806841775672936,-9.243205809604815,8,-13.247140764070354,-13.221874438044434,-19.443144485488904,9,37.63796166920732,21.156194563231946,-9.46384129695379,8,39.2066279940708,21.983832920882417,-7.593958434138848,8,1.3907453422067952,True
holding,hold90_125,46.73975625920357,7.004351927355024,-35.75858387444122,39,49.779286616779196,27.467923791219096,-11.222191836902484,8,-16.41062029937097,-16.379910342847825,-23.804348655183627,9,48.209646017354714,26.663753353553375,-11.468981089350837,8,50.39899318816454,27.78448940092353,-9.145907143023212,8,1.7867981875140633,True
holding,signal_only_100,39.009654425551844,5.986946295067974,-30.497041306932047,38,39.79023676518692,22.2907972436011,-9.287003451556775,7,-13.247140764070354,-13.221874438044434,-19.443144485488904,9,38.66818905787763,21.70017084157243,-9.493713567533357,7,41.77159977011835,23.329150483017578,-7.6027367801905665,7,1.3907453422067952,True
holding,signal_only_125,47.59050158161995,7.113608774345437,-35.75858387444122,38,50.76723691983665,27.972353215202105,-11.173960029848462,7,-16.41062029937097,-16.379910342847825,-23.804348655183627,9,49.0700556385572,27.10498386901432,-11.507526164970084,7,53.412368419125265,29.31645361436146,-9.17902556504554,7,1.7867981875140633,True
