candidate,eligible_selection,score,check_development_positive,check_validation_a_positive,check_validation_b_positive,check_selection_cagr_min,check_selection_sharpe_min,check_selection_max_drawdown_min,check_selection_turnover_max,check_worst_severe_period_min,selection_cagr,selection_sharpe,selection_dd,selection_turnover
tsmom+relative__vol08__cap075__r20__b10,False,0.02294669941330317,True,True,False,False,False,True,True,True,0.017329470283052872,0.334426700761237,-0.10332031423892574,8.614113610795219
tsmom+relative__vol08__cap075__r20__b05,False,0.022663504993996983,True,True,False,False,False,True,True,True,0.017234761086578843,0.33274402064597847,-0.10328976078823249,8.675053999757722
tsmom+relative__vol08__cap100__r20__b10,False,0.022030738115342823,True,True,True,False,False,True,True,True,0.02147689593378499,0.34375792953527934,-0.12975608678236794,11.386258002403084
tsmom+relative__vol08__cap100__r20__b05,False,0.021943571088225,True,True,True,False,False,True,True,True,0.021445842666000026,0.34325648539775167,-0.12975608678236827,11.40225623073366
tsmom+relative__vol10__cap100__r20__b10,False,0.021099147888697618,True,True,False,False,False,True,True,True,0.022374819702324134,0.3297869494602415,-0.13359212323772673,11.553409607838471
tsmom+relative__vol10__cap100__r20__b05,False,0.021007386774211864,True,True,False,False,False,True,True,True,0.022340254919727798,0.32927501167904444,-0.1335921232377265,11.56965091723214
tsmom+relative__vol10__cap075__r20__b10,False,0.01963009470100471,True,True,False,False,False,True,True,True,0.017244182363862492,0.31669947465143683,-0.11179855802531968,8.671809802352406
tsmom+relative__vol10__cap075__r20__b05,False,0.019348894333310593,True,True,False,False,False,True,True,True,0.01714799578873749,0.31505847450624663,-0.11176707431634081,8.732835717553865
tsmom+crisis__vol08__cap100__r20__b05,False,0.019186920760429278,True,True,False,False,False,True,True,False,0.022325774902621998,0.3394343394442677,-0.13746613474136882,10.338179345694943
tsmom+crisis__vol08__cap100__r20__b10,False,0.019181987187278787,True,True,False,False,False,True,True,False,0.022321148065711505,0.3393287455879051,-0.1375209326794179,10.317329471978915
tsmom+crisis__vol08__cap075__r20__b10,False,0.01816297547422324,True,True,False,False,False,True,True,True,0.017537730027788134,0.31543659298365767,-0.1146389834968391,7.8125949162564385
tsmom+relative__vol12__cap100__r20__b10,False,0.017669639203491433,True,True,False,False,False,True,True,True,0.02216534362940159,0.31298958789683806,-0.14247352428714755,11.578814710200465
tsmom+relative__vol12__cap100__r20__b05,False,0.017572069677099508,True,True,False,False,False,True,True,True,0.022127305693668164,0.31245149789431614,-0.1424735242871472,11.595299100657222
