segment,state_id,state_label,observations,next_1d_market_return_mean,next_1d_down_frequency,next_5d_market_return_mean,next_20d_market_vol_mean,next_5d_dispersion_mean
development_2021_2023,0,deleveraging,281,-0.000354773757072435,0.48398576512455516,-0.008877988467417202,0.6854888958001135,0.022912050988949405
development_2021_2023,1,transition,284,0.0012719571719502964,0.46830985915492956,0.011452712921862108,0.544963933581597,0.019041841574311352
development_2021_2023,2,rotation,145,0.0027039313451158375,0.5103448275862069,0.009141560264150762,0.6812037550725345,0.0261702178070589
development_2021_2023,3,speculative_risk_on,43,-0.003516501514552933,0.5348837209302325,-0.010409810648336416,1.310001997728805,0.05408206719739977
development_2021_2023,4,transition_2,236,-0.0023409027220074007,0.5423728813559322,-0.008609289410036901,0.5038795370156494,0.022653967845090908
development_2021_2023,5,calm_risk_on,106,0.007934218694424728,0.4339622641509434,0.0328985898247336,0.876995392374127,0.06505523248451682
validation_2024,0,deleveraging,7,0.012256226050602503,0.2857142857142857,0.022358122741442697,0.5008562609397711,0.01934855615729548
validation_2024,1,transition,194,0.0008414574398674835,0.4742268041237113,0.006377181587048192,0.5053341097864701,0.01882399408141211
validation_2024,2,rotation,73,0.0021630998283727466,0.4657534246575342,0.01316560563812269,0.5728144202618822,0.03324983803328655
validation_2024,3,speculative_risk_on,20,-0.0046050687423758955,0.5,-0.014564815803112552,0.5753766528335744,0.027597352605205842
validation_2024,4,transition_2,61,0.003846910606074877,0.4426229508196721,0.020489059282406175,0.49763186037838375,0.02618465872788347
validation_2024,5,calm_risk_on,11,0.0007460587579603904,0.36363636363636365,-0.02240245421112963,0.8319364671960294,0.03648056258640884
holdout_2025,0,deleveraging,130,-0.004685121153920177,0.5307692307692308,-0.017867164709198486,0.5902223202819221,0.022593766041457655
holdout_2025,1,transition,59,0.008670783894733329,0.423728813559322,0.03710299181718576,0.5158209777878456,0.020343197027520694
holdout_2025,2,rotation,1,0.023739314908014286,0.0,-0.015222723066411703,0.5040852886230874,0.018954530042827607
holdout_2025,4,transition_2,175,-7.964876438474735e-05,0.4685714285714286,-0.0019017551889733524,0.48733942773126215,0.020091366396967136
final_2026h1,0,deleveraging,58,-0.002793874096229374,0.5517241379310345,-0.010364132885675805,0.6303595922258124,0.016243332278940533
final_2026h1,1,transition,115,-0.0023897190262355127,0.5263157894736842,-0.016787761975298198,0.5126480967652767,0.014731412583471892
final_2026h1,4,transition_2,8,-0.012127808232653192,0.75,-0.038254263758913054,0.3595250297558529,0.012233139453052705
full,0,deleveraging,476,-0.0016491770818782845,0.5021008403361344,-0.011054745839746083,0.6502893063378775,0.0219601451230334
full,1,transition,652,0.001173005930824261,0.47619047619047616,0.007468572484740874,0.5251026173958065,0.018362352191196297
full,2,rotation,219,0.0026197061526074027,0.4931506849315068,0.010371656286842033,0.6442652166815434,0.028497142869846056
full,3,speculative_risk_on,63,-0.003862078412274508,0.5238095238095238,-0.011728859903820903,1.0767876025239702,0.04567422129511598
full,4,transition_2,480,-0.0008932343646911154,0.50625,-0.0029600019847574443,0.4946494048120673,0.02199469756028337
full,5,calm_risk_on,117,0.007258408785868252,0.42735042735042733,0.027699346368370386,0.8727590831693487,0.06236872505819897
