segment,state_id,state_label,days,occupancy,median_duration_days,mean_confidence,novelty_rate
development_2021_2023,0,deleveraging,281,0.25662100456621006,7.0,0.3960708448787149,0.017793594306049824
development_2021_2023,1,transition,284,0.2593607305936073,7.0,0.4085254069371486,0.01056338028169014
development_2021_2023,2,rotation,145,0.1324200913242009,12.0,0.3344385848079412,0.1103448275862069
development_2021_2023,3,speculative_risk_on,43,0.039269406392694065,20.0,0.3786690046741353,0.3023255813953488
development_2021_2023,4,transition_2,236,0.21552511415525114,10.0,0.38620509805142494,0.0
development_2021_2023,5,calm_risk_on,106,0.09680365296803653,27.0,0.5240711820695321,0.16981132075471697
validation_2024,0,deleveraging,7,0.01912568306010929,1.0,0.1548190008539128,0.0
validation_2024,1,transition,194,0.5300546448087432,19.0,0.45981131611878323,0.02577319587628866
validation_2024,2,rotation,73,0.1994535519125683,10.0,0.2916719825328021,0.3698630136986301
validation_2024,3,speculative_risk_on,20,0.0546448087431694,4.5,0.1987551253371212,0.75
validation_2024,4,transition_2,61,0.16666666666666666,6.0,0.26947493684427043,0.03278688524590164
validation_2024,5,calm_risk_on,11,0.030054644808743168,6.0,0.1970963745131856,0.45454545454545453
holdout_2025,0,deleveraging,130,0.3561643835616438,16.5,0.3299549013002905,0.13846153846153847
holdout_2025,1,transition,59,0.16164383561643836,3.0,0.32148878943216197,0.0
holdout_2025,2,rotation,1,0.0027397260273972603,1.0,0.022111080352718804,1.0
holdout_2025,4,transition_2,175,0.4794520547945205,18.0,0.3334187553141945,0.07428571428571429
final_2026h1,0,deleveraging,58,0.32044198895027626,3.0,0.33490680024220354,0.0
final_2026h1,1,transition,115,0.6353591160220995,7.0,0.41859218155157185,0.017391304347826087
final_2026h1,4,transition_2,8,0.04419889502762431,2.0,0.07066078747019783,0.125
full,0,deleveraging,476,0.2371699053313403,7.0,0.3670133865545837,0.04831932773109244
full,1,transition,652,0.32486297957149973,8.5,0.417684893178102,0.015337423312883436
full,2,rotation,219,0.10911808669656203,11.0,0.3187568977278481,0.2009132420091324
full,3,speculative_risk_on,63,0.03139013452914798,11.0,0.3215534874242896,0.4444444444444444
full,4,transition_2,480,0.23916292974588937,11.0,0.34686654743204665,0.03333333333333333
full,5,calm_risk_on,117,0.05829596412556054,24.0,0.4933299608462858,0.19658119658119658
