model,full_return_pct,full_cagr_pct,full_mark_close_drawdown_pct,validation2024_return_pct,later_return_pct,later_cagr_pct,later_mark_close_drawdown_pct,later_episodes,later_fills,later_fees,later_funding
pair_revert168,-76.2248732890502,-22.399571121761973,-80.30815729242833,-31.046728126470935,-11.007866350782047,-6.766178589347083,-22.867983345644394,151,604,1362.7390909607357,41.21498900757236
pair_revert720,-59.37220520373463,-14.701030302629924,-64.21785406866312,-4.079606085690046,-28.92949998798633,-18.547606036172184,-30.693117022162053,49,196,383.392025080437,18.329146785855478
pair_revert168_stable,-59.718206709635155,-14.82972372130168,-61.22847658552028,-25.463135196718667,-1.05573005241002,-0.6355626855828689,-7.972370181249689,115,460,1157.2599152255411,20.449725656463947
pair_momentum168,13.452411376356622,2.253108102645318,-34.65003283880365,-7.67506983276297,11.49939181258528,6.75752257520541,-17.721119577639634,31,124,353.7373903537675,-19.40058437874397
pair_momentum720,55.6302389902183,8.121291975103805,-26.953809533374507,-9.508418638428918,28.901821218225933,16.476158371770634,-8.184635132757755,33,132,387.5634931761355,5.881057127639935
pair_breakout72,-41.1506092670535,-8.934998166475893,-54.10817918139883,-11.811393233912238,-22.054132205371026,-13.901463265073454,-31.720084030878393,295,1180,2768.634129113389,-58.18447384976794
directional_breakout72,-87.6100208880541,-30.833529452901487,-93.26354388279397,31.85819751407295,-26.925027299258463,-17.175205319420527,-49.75951421170334,469,1276,3734.0572488650705,-101.63260238783526
directional_trend_ensemble,29.743509446361394,4.704060347004968,-63.366326005256425,-17.510308336006453,8.816759243450424,5.206998922864137,-40.52337773332905,468,1306,4753.021995466558,-146.7664537745277
btc_trend_ensemble,103.34946638627804,13.34844022752586,-47.77545661517906,-20.700540206477356,27.412361052169132,15.665758075659909,-24.90536644240281,173,346,1692.11347515254,-75.17687613048587
cash,0,0,0,0,0,0,0,0,0,0,0
