policy,name,family,core_weight,base_leverage,target_vol,state_strength,min_leverage,max_leverage,rebalance_days,no_trade_band,smooth_days,drawdown_guard,promotable,eligible,score,development_total_return,development_cagr,development_sharpe,development_sortino,development_max_drawdown,development_calmar,development_worst_rolling_365,development_final_equity,development_annual_meta_turnover,development_average_leverage,development_max_leverage,development_average_close_gross,development_max_close_gross,development_transfer_cost,development_financing_cost,development_extra_underlying_cost,development_risk_reductions,development_scheduled_rebalances,severe_development_total_return,severe_development_cagr,severe_development_sharpe,severe_development_sortino,severe_development_max_drawdown,severe_development_calmar,severe_development_worst_rolling_365,severe_development_final_equity,severe_development_annual_meta_turnover,severe_development_average_leverage,severe_development_max_leverage,severe_development_average_close_gross,severe_development_max_close_gross,severe_development_transfer_cost,severe_development_financing_cost,severe_development_extra_underlying_cost,severe_development_risk_reductions,severe_development_scheduled_rebalances,gate_promotable,gate_cagr_ge_45pct,gate_sharpe_ge_1_35,gate_max_dd_ge_minus25pct,gate_worst_rolling_365_ge_minus15pct,gate_2021_positive,gate_2022_ge_minus3pct,gate_2023_positive,gate_meta_turnover_le_5x,gate_average_leverage_le_1_65,gate_max_leverage_le_1_95,gate_severe_cagr_ge_30pct,gate_severe_dd_ge_minus32pct
constant_core100_l175,constant_core100_l175,constant,1.0,1.75,0.0,0.0,1.75,1.75,14,0.08,1,False,False,False,0.5704134081853346,2.1936911772526204,0.4726435497757364,1.4038665649194286,2.524155948543238,-0.2993374297306902,1.5789657517971185,-0.26487920039533175,31936.911772526204,0.5833333333333334,1.75,1.75,1.3199243797666231,1.7446933581219024,17.5,2030.5581940616562,0.0,0,1,1.3762679606171324,0.3344382156779542,1.022216419529824,1.798473846070127,-0.46575447284041027,0.7180569059023265,-0.38497959241013724,23762.679606171325,0.6497935651582788,1.75,1.75,1.5001872115495722,1.8058384776355303,52.54334486875321,4766.599150365888,4461.441863328793,4,1,False,True,True,False,False,True,True,True,True,False,True,True,False
constant_core100_l160,constant_core100_l160,constant,1.0,1.6,0.0,0.0,1.6,1.6,14,0.08,1,False,False,False,0.5545492459572404,2.02917198824198,0.44690930875077006,1.4015085383183297,2.5077034466872705,-0.2866533124923486,1.559058588456741,-0.25411523656635504,30291.719882419802,0.5333333333333333,1.5999999999999999,1.6,1.2688417613367031,1.5961162150999522,16.0,1624.6906493973868,0.0,0,1,1.3013779516821828,0.32026967854024524,1.0330649271087233,1.8121366301754593,-0.43737580431141765,0.7322528484273647,-0.3638373802388004,23013.77951682183,0.5998120344695288,1.5999999999999999,1.6,1.4195985746271018,1.6602506507508514,48.71041715900071,3865.6828528378524,4065.9929601847484,4,1,False,False,True,False,False,True,True,True,True,True,True,True,False
constant_core100_l145,constant_core100_l145,constant,1.0,1.45,0.0,0.0,1.45,1.45,14,0.08,1,False,False,False,0.5370203868645971,1.864603220180094,0.42021738723370183,1.4002241833080047,2.4930987453107893,-0.27235182580904005,1.5429211314644828,-0.241978744726431,28646.03220180094,0.48333333333333334,1.4499999999999995,1.45,1.2123679913520065,1.4473586370623903,14.5,1218.7010576590646,0.0,0,1,1.2440322977508198,0.30921116733130316,1.0551874866130717,1.8476806745972008,-0.404862737493872,0.7637432114531987,-0.3403872160669178,22440.322977508196,0.5358446429376843,1.4499999999999995,1.45,1.33525602715585,1.5088217533078079,43.192832450689174,2981.4127650268974,3676.663864977293,3,1,False,False,True,False,False,True,True,True,True,True,True,True,False
dd_core100_l175,dd_core100_l175,constant,1.0,1.75,0.0,0.0,0.45,1.75,7,0.06,3,True,True,False,0.5102567885928547,1.6968231153356332,0.39193029528439793,1.5064291353892978,2.7440672723619737,-0.24310373587064826,1.6121936336385139,-0.1594089036863019,26968.231153356333,5.383512318058646,0.8171301369863013,1.75,0.7729066795487356,1.7773843520030932,341.96877537391737,331.55791028962824,0.0,18,17,1.3215097162413363,0.32410828170088224,1.3457836631435793,2.414964539073709,-0.27592733207601694,1.1746146322742381,-0.17507368621247887,23215.097162413364,3.6375819231003903,0.7586050228310501,1.75,0.7304575995015877,1.7852581627671995,493.0375346372672,489.1473896547702,1997.4455019456184,12,11,True,False,True,True,False,True,True,True,False,True,True,True,True
state_core100_l155_s25,state_core100_l155_s25,state,1.0,1.55,0.0,0.25,0.55,1.85,7,0.06,7,True,True,False,0.48729368432130715,1.5491203637186413,0.3660400976103291,1.4910447212113773,2.6404983746080997,-0.23365411020515625,1.5665895938613423,-0.15662866363778993,25491.203637186412,5.239773701805613,0.7617472991689366,1.7604383643089283,0.7206771629851573,1.7450880160172049,322.744997052877,283.2662268005063,0.0,23,21,1.4413262582411215,0.34650697501691696,1.4390798065657615,2.589564967942502,-0.2617267508806941,1.323926476185345,-0.17115178010277576,24413.262582411215,3.4040637189380187,0.7027687771558804,1.7604383643089343,0.6748919400184222,1.771888514493811,479.2101561193865,525.6839832220611,1947.7436944378485,14,14,True,False,True,True,False,True,True,True,False,True,True,True,True
dd_core100_l160,dd_core100_l160,constant,1.0,1.6,0.0,0.0,0.45,1.6,7,0.06,3,True,True,False,0.48538169678952614,1.5350858320705112,0.3635285089761431,1.491326782010007,2.685292653258359,-0.2361976853569565,1.5390858230755156,-0.15498576685722976,25350.858320705112,4.70121198077511,0.7673278538812784,1.6,0.7274372120411914,1.5981044172008874,295.36381256999744,249.39651159921968,0.0,17,17,1.3129842590463539,0.32248541887768756,1.3769518271476715,2.4880406468091847,-0.2632577067164503,1.224979974565494,-0.17061864130357463,23129.842590463537,4.056929029163716,0.7239744292237442,1.6,0.6950829575354737,1.6277822438862781,582.7519068515528,402.2088972585769,1930.3961321801307,15,14,True,False,True,True,False,True,True,True,True,True,True,True,True
state_core100_l165_s40,state_core100_l165_s40,state,1.0,1.65,0.0,0.4,0.5,1.95,7,0.06,7,True,True,False,0.47552103102862986,1.5219773758316495,0.3611742626027994,1.4421807409646445,2.5052276611286826,-0.2444597895613646,1.4774383273865044,-0.16320373263315402,25219.773758316496,4.769823412936518,0.7583079824248922,1.9491817224391654,0.7231556142801958,1.9635986546787882,281.73909676266805,340.63367587147474,0.0,24,22,1.6391197176956318,0.38193101470098,1.450135699046017,2.584647381983565,-0.279237720796904,1.3677629713170707,-0.18322693555915448,26391.197176956317,4.221529449366007,0.7206706685931967,1.9491817224391732,0.7032167809256294,2.0060924047090203,633.1865749106341,710.6961926488864,2163.454753112824,23,21,True,False,True,True,False,True,True,True,True,True,True,True,True
statevol_core90_tv40_s40_r14,statevol_core90_tv40_s40_r14,state_vol,0.9,1.0,0.4,0.4,0.45,1.95,14,0.08,14,True,True,False,0.4232440689004946,1.2149408832506983,0.3035290469481511,1.410752077640582,2.37306803967987,-0.21907134299401,1.385526024535534,-0.180900757002867,22149.408832506982,4.521155382906657,1.0172998161891074,1.9499999999972537,0.9534586911051229,1.9802218638522686,263.72967543611435,517.1644593083483,0.0,24,19,0.9273928378655263,0.24448618612465967,1.2822697428244163,2.175655384155609,-0.2718696747644106,0.8992771493787228,-0.163967931893495,19273.928378655262,3.5831735813168955,0.8100654550569188,1.9477907182173013,0.777207820814183,1.882658817226668,475.95967926952864,341.93701214061144,1834.4464708245946,23,16,True,False,True,True,False,True,False,True,True,True,True,False,True
statevol_core85_tv40_s40,statevol_core85_tv40_s40,state_vol,0.85,1.0,0.4,0.4,0.45,1.95,7,0.06,7,True,True,False,0.4150981044867508,1.2034148893793475,0.3012640347146016,1.4215883719030085,2.3991936521291986,-0.2164676939506186,1.3917274638834887,-0.15842619662077184,22034.148893793474,6.734613396499559,0.978328463346777,1.95,0.9400472778627437,1.905733121744889,392.67185283757055,527.6306778573276,0.0,31,31,0.963612970815098,0.25223344079093213,1.326846156327262,2.2496635452759985,-0.2671220486841901,0.9442629016713618,-0.17398214919546418,19636.12970815098,3.893680475821787,0.8202458740695451,1.949992577328582,0.802467869275227,1.9082932608289505,520.4298686163215,433.36471691620494,1907.6896270906584,27,21,True,False,True,True,False,True,True,True,False,True,True,False,True
statevol_core85_tv40_s40_r14,statevol_core85_tv40_s40_r14,state_vol,0.85,1.0,0.4,0.4,0.45,1.95,14,0.08,14,True,True,False,0.4123216731421248,1.169187684565311,0.2944910239386518,1.4175620718657869,2.369696431161459,-0.21251188332148607,1.3857626187103542,-0.16738246686105474,21691.87684565311,5.450802283006243,1.020687798615342,1.9499999999987807,0.9430097703013659,1.9629710450733289,313.34324167528837,505.9511926278475,0.0,25,20,0.9010091438149459,0.23878156933123917,1.3007136073193744,2.2099697858639593,-0.2659737752166269,0.8977635826568218,-0.1645943557258972,19010.09143814946,3.8946408587655106,0.8225195213376814,1.9489014343108007,0.783844104829093,1.9216147711068567,514.2388617016223,357.0146447431182,1827.1691610640019,22,15,True,False,True,True,False,True,True,True,False,True,True,False,True
