audit,period,name,transfer_cost_bps,financing_rate,extra_underlying_cost_bps,signal_delay_days,total_return,cagr,sharpe,sortino,max_drawdown,calmar,worst_rolling_365,final_equity,annual_meta_turnover,average_leverage,max_leverage,average_close_gross,max_close_gross,transfer_cost,financing_cost,extra_underlying_cost,risk_reductions,scheduled_rebalances,signal_switches,high_state_share
base,development,base,10.0,0.08,0.0,0,2.6241070666685804,0.5360322703424936,1.687761281223422,3.1050415776254248,-0.1839804907640893,2.913527777408888,-0.15416703569625567,36241.0706666858,5.358401460743288,1.0056164383561643,1.95,0.9224566042699784,1.9887214117023786,420.2261620795825,1376.5267215229042,0.0,7,7,12,0.3004566210045662
base,validation_2024,base,10.0,0.08,0.0,0,0.865225009781112,0.8620508090241885,2.2140219290801118,4.943150634855555,-0.12319743592167043,6.997311287974247,0.1894852357767256,18652.25009781112,4.892658763881576,0.9577868852459014,1.95,0.8763362766807322,1.972034972728328,235.42393986911497,787.8849195264405,0.0,2,2,4,0.2650273224043716
base,holdout_2025,base,10.0,0.08,0.0,0,0.1755964810736952,0.1755964810736952,0.6021416079993507,0.9904473190143382,-0.2282686147282874,0.7692537201520722,-0.06778018393213703,11755.964810736952,8.056985102646568,0.9254794520547942,1.95,0.8775098020176225,2.1165237074714813,630.470618541107,1221.9761810483908,0.0,5,3,6,0.2410958904109589
base,final_2026h1,base,10.0,0.08,0.0,0,-0.021033858718975673,-0.04196291444897393,-0.34906928357223965,-0.41865641163193895,-0.07536214266693686,-0.5568168972375045,-0.023029762560321188,9789.661412810243,5.57570154674878,0.7491712707182319,1.95,0.7458591470464767,2.000119258263842,218.20913926466093,323.30564369814795,0.0,2,1,2,0.11049723756906077
base,full,base,10.0,0.08,0.0,0,6.77961667354229,0.4522211469267159,1.4018616120291656,2.520845536643141,-0.2647744639409929,1.7079484939586054,-0.15416703569625567,77796.1667354229,5.783838689348322,0.9591928251121076,1.95,0.8899455118548175,2.1165237074714813,1504.3298597544654,3709.693465795883,0.0,16,13,24,0.26606875934230195
severe,development,severe,25.0,0.14,40.0,1,1.9269480547721844,0.43044667200677034,1.4627432266690894,2.604988153471086,-0.23751804185025138,1.812269369743942,-0.1846740682567326,29269.480547721843,5.412325841966599,1.0056164383561643,1.95,0.9325026489499304,2.0089805759527635,932.7947256550581,2201.3490401250397,2819.506236356964,10,7,12,0.3004566210045662
severe,validation_2024,severe,25.0,0.14,40.0,1,0.7721494067460339,0.7693810473157212,2.040169692528974,4.488371199796647,-0.14157572718879863,5.434413529726825,0.14927836038389897,17721.49406746034,4.926385795537364,0.9577868852459014,1.95,0.8884057086042324,1.9782463269754973,466.17317541358216,1123.9413264793939,1465.8983403021293,2,2,4,0.2650273224043716
severe,holdout_2025,severe,25.0,0.14,40.0,1,-0.023684000115082537,-0.023684000115082537,0.13910903403592115,0.22258950945088093,-0.2446127585322353,-0.09682242356120373,-0.10375599740829666,9763.159998849174,8.243686015774376,0.9254794520547942,1.95,0.8784902406508219,2.117478189679243,1123.8720482328574,1479.9121158251821,1980.5155908975876,8,3,6,0.2410958904109589
severe,final_2026h1,severe,25.0,0.14,40.0,1,-0.01877547310600436,-0.03750084847361934,-0.44024687300789334,-0.5829002341049752,-0.06642039962394297,-0.5645983566184564,-0.02072182883994378,9812.245268939956,5.528574078888149,0.7491712707182319,1.95,0.7049031932454484,1.9942925792944979,345.10715364163536,261.16913995067534,737.2275028251645,2,1,2,0.11049723756906077
severe,full,severe,25.0,0.14,40.0,1,3.969058968910254,0.3385260834126098,1.138548028712347,1.9976332926982043,-0.27583823485891523,1.2272630862279044,-0.1846740682567326,49690.58968910254,5.849113752942951,0.9591928251121076,1.95,0.8941122599722466,2.117478189679243,2867.947102943133,5066.371622380291,7003.147670381844,22,13,24,0.26606875934230195
