policy,name,high_leverage,base_leverage,low_leverage,rebalance_days,no_trade_band,guard_enter_drawdown,guard_exit_drawdown,guard_cap,guard_minimum_hold_days,guard_enabled,primary,base_total_return,base_cagr,base_sharpe,base_sortino,base_max_drawdown,base_calmar,base_worst_rolling_365,base_final_equity,base_annual_meta_turnover,base_average_target_leverage,base_maximum_target_leverage,base_average_close_gross,base_maximum_close_gross,base_transfer_cost,base_financing_cost,base_extra_underlying_cost,base_risk_reductions,base_scheduled_rebalances,base_guard_day_share,base_high_state_share,base_base_state_share,base_low_state_share,severe_total_return,severe_cagr,severe_sharpe,severe_sortino,severe_max_drawdown,severe_calmar,severe_worst_rolling_365,severe_final_equity,severe_annual_meta_turnover,severe_average_target_leverage,severe_maximum_target_leverage,severe_average_close_gross,severe_maximum_close_gross,severe_transfer_cost,severe_financing_cost,severe_extra_underlying_cost,severe_risk_reductions,severe_scheduled_rebalances,severe_guard_day_share,severe_high_state_share,severe_base_state_share,severe_low_state_share,extreme_total_return,extreme_cagr,extreme_sharpe,extreme_sortino,extreme_max_drawdown,extreme_calmar,extreme_worst_rolling_365,extreme_final_equity,extreme_annual_meta_turnover,extreme_average_target_leverage,extreme_maximum_target_leverage,extreme_average_close_gross,extreme_maximum_close_gross,extreme_transfer_cost,extreme_financing_cost,extreme_extra_underlying_cost,extreme_risk_reductions,extreme_scheduled_rebalances,extreme_guard_day_share,extreme_high_state_share,extreme_base_state_share,extreme_low_state_share,delay_1d_total_return,delay_1d_cagr,delay_1d_sharpe,delay_1d_sortino,delay_1d_max_drawdown,delay_1d_calmar,delay_1d_worst_rolling_365,delay_1d_final_equity,delay_1d_annual_meta_turnover,delay_1d_average_target_leverage,delay_1d_maximum_target_leverage,delay_1d_average_close_gross,delay_1d_maximum_close_gross,delay_1d_transfer_cost,delay_1d_financing_cost,delay_1d_extra_underlying_cost,delay_1d_risk_reductions,delay_1d_scheduled_rebalances,delay_1d_guard_day_share,delay_1d_high_state_share,delay_1d_base_state_share,delay_1d_low_state_share,gate_full_cagr_ge_50pct,gate_full_sharpe_ge_1_45,gate_full_max_dd_ge_minus25pct,gate_full_worst_rolling_365_ge_minus22pct,gate_all_calendar_years_positive,gate_average_target_leverage_le_1_35,gate_maximum_target_leverage_le_2_10,gate_annual_meta_turnover_le_6x,gate_severe_full_cagr_ge_40pct,gate_severe_full_dd_ge_minus30pct,gate_extreme_full_cagr_ge_25pct,gate_extreme_full_dd_ge_minus40pct,gate_delay_full_cagr_ge_45pct,gate_delay_full_dd_ge_minus25pct,all_gates_passed
tristate_h2075_b097_guard245,tristate_h2075_b097_guard245,2.075,0.97,0.6,10,0.04,-0.245,-0.18,1.0,7,True,True,8.483407210943097,0.5054770638530515,1.4597904254441398,2.596532917847271,-0.23679792568887836,2.134634677996219,-0.20245657086746538,94834.07210943097,5.119466224899777,1.244735924265072,2.075,1.1710069025308936,2.1529717115544655,1334.1167918036076,3913.8929243956,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,5.421562660755656,0.4024272799015174,1.2389616427323742,2.186193354814122,-0.2915826292615754,1.3801483336666964,-0.2622062410650261,64215.626607556565,4.348455031238335,1.211527154957648,2.075,1.1654575957162554,2.166660343846815,2080.2015794923636,4936.573541126115,9581.240238590284,16,12,0.16741405082212257,0.24862979571499752,0.7513702042850025,0.0,3.168178701777734,0.2964196219347963,0.984563118725719,1.738096724029511,-0.33647008092978925,0.8809687361077724,-0.2900955804346066,41681.78701777734,4.439647570499553,1.200279023418037,2.075,1.1663878638298546,2.176121838728878,3521.703758478832,6180.337953177392,14771.454653401972,24,12,0.14798206278026907,0.24862979571499752,0.7513702042850025,0.0,8.338970380754155,0.5012808687988206,1.44714545854028,2.5719923481200095,-0.2482846633718191,2.0189763716823967,-0.21613504850515275,93389.70380754155,5.122802393722038,1.244200298953662,2.075,1.1773305454692207,2.1529717115544673,1309.3937604982455,3978.7474826305274,0.0,17,14,0.03388141504733433,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
neighbor_h2050,neighbor_h2050,2.05,0.97,0.6,10,0.04,-0.245,-0.18,1.0,7,True,False,8.326299358290472,0.500910221125239,1.4586021623326098,2.5940891196367617,-0.23622656082469817,2.1204652828898456,-0.20217671185097685,93262.99358290472,5.009956336602145,1.2385201793721974,2.05,1.1667666951068303,2.1251751507947962,1288.5589429683612,3783.5002142636067,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,5.336657077010645,0.39903663040214754,1.237975099033034,2.1843146522496735,-0.2907896180564902,1.3722519843353858,-0.2613803455660678,63366.570770106446,4.255638439139566,1.2060837070254111,2.05,1.1615312575338177,2.138447516361063,2016.50774927716,4787.277877957859,9462.406046324453,16,12,0.1574489287493772,0.24862979571499752,0.7513702042850025,0.0,3.1317042377054296,0.29434903351125663,0.9844441664290241,1.7377551532333984,-0.33632163951660754,0.8752009948997698,-0.289431000200541,41317.0423770543,4.344953666998312,1.1950971599402094,2.05,1.1625072082361532,2.147649291818561,3423.8811406973423,6011.353187650371,14634.82780058875,24,12,0.14798206278026907,0.24862979571499752,0.7513702042850025,0.0,8.186255011311957,0.49678601501829833,1.4460676030382933,2.569759831849716,-0.24746956568740808,2.0074630738464827,-0.21555909230979275,91862.55011311956,5.0132455655811246,1.2385201793721974,2.05,1.172956548446659,2.125175150794797,1265.1378960814545,3847.38230136266,0.0,17,14,0.03338315894369706,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
neighbor_h2100,neighbor_h2100,2.1,0.97,0.6,10,0.04,-0.245,-0.18,1.0,7,True,False,8.642481803340416,0.5100384404386902,1.4609430885786245,2.598909318839738,-0.23736757299869626,2.1487283793456133,-0.20273487183874772,96424.81803340417,5.228891979505947,1.2509516691579474,2.1,1.1752348685138776,2.180816896378435,1380.5680238279433,4046.531750805454,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,5.52938061427716,0.4066804550967966,1.241523790003307,2.1909995848819634,-0.2923731453818825,1.390963778720552,-0.263029538013959,65293.8061427716,4.439430447627044,1.2169706028898855,2.1,1.1695688573785497,2.1949288613244144,2151.7361519789406,5108.375233696159,9734.680560498597,16,12,0.16741405082212257,0.24862979571499752,0.7513702042850025,0.0,3.2047614656346406,0.2984815215017067,0.9846665867981411,1.7384053789613427,-0.33661298189698774,0.8867201728810619,-0.29075780270302143,42047.614656346406,4.53429127511116,1.2054608868958647,2.1,1.170258609149965,2.2046542190408664,3620.4576886139216,6350.565532259516,14908.682743855641,24,12,0.14798206278026907,0.24862979571499752,0.7513702042850025,0.0,8.49360072236081,0.505771226939348,1.44819247146798,2.5741669941831957,-0.24909736177694053,2.0304158315102967,-0.21670891715049778,94936.0072236081,5.23227242656255,1.250403587443946,2.1,1.1816919872102236,2.1808168963784347,1354.4979240828648,4112.323136795554,0.0,17,14,0.0343796711509716,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
neighbor_base096,neighbor_base096,2.075,0.96,0.6,10,0.04,-0.245,-0.18,1.0,7,True,False,8.449458272975775,0.5044955005294152,1.4607061601687708,2.5979286539773536,-0.2350508758871348,2.146324699388317,-0.20074198978664637,94494.58272975775,5.164406940070924,1.2372222222222224,2.075,1.1629651694947227,2.1529717115544678,1342.4799042251798,3901.9123197676895,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,5.403975353488333,0.40172796695578294,1.239893418720861,2.18742582513923,-0.28935240897906744,1.3883691805892138,-0.26044708332460387,64039.753534883326,4.41426050864071,1.2040134529147983,2.075,1.1562810788670463,2.1666603438468135,2110.15497686179,4924.829298190861,9480.900316887746,18,15,0.16143497757847533,0.24862979571499752,0.7513702042850025,0.0,3.170346050727888,0.2965421911032713,0.9866748217253187,1.741931956057485,-0.333401829619308,0.8894438025186469,-0.2876205538397193,41703.46050727888,4.496431263180567,1.1933009466865974,2.075,1.15802091519738,2.176121838728878,3561.2551943017406,6163.8216798137455,14659.47543881565,25,15,0.1469855505729945,0.24862979571499752,0.7513702042850025,0.0,8.303011589133506,0.5002279408817865,1.4478265138006081,2.572933358749728,-0.2466712715288245,2.0279132538680447,-0.2145845479196975,93030.11589133507,5.167694483678113,1.2372222222222224,2.075,1.1693690352477444,2.1529717115544678,1317.2290836264274,3965.522275553418,0.0,17,14,0.03338315894369706,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
neighbor_base098,neighbor_base098,2.075,0.98,0.6,10,0.04,-0.245,-0.18,1.0,7,True,False,8.517292889193278,0.5064539355683821,1.4588498247323995,2.595081410872416,-0.2385427675752092,2.123115870233644,-0.2041694153498389,95172.92889193278,5.074529838515133,1.2522496263079224,2.075,1.1790536671706005,2.1529717115544655,1325.6668607708666,3925.8432147322997,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,4.586135571710067,0.3673266877784074,1.1678454322228646,2.041249618857176,-0.3057755734800204,1.2012950661750907,-0.27665340306966135,55861.355717100676,4.360019442843876,1.2040433482810167,2.075,1.1615299624584232,2.1666603438468144,1908.8460764700937,4305.475488139254,8756.533440859866,16,12,0.19431988041853512,0.24862979571499752,0.7513702042850025,0.0,3.2070484423472108,0.2986099333325871,0.9881292878253723,1.7441544118734562,-0.34170316857909244,0.8738869310878786,-0.29235490652230245,42070.48442347211,4.39475414492492,1.206721474838067,2.075,1.169508860866289,2.176121838728878,3509.54741997231,6147.935898678705,14914.21942392939,23,12,0.1519681116093672,0.24862979571499752,0.7513702042850025,0.0,8.374891144378218,0.5023293767634704,1.4464390448930586,2.570995022405178,-0.24989625989789832,2.0101516403995414,-0.2176841452590378,93748.91144378217,5.077915883882406,1.2517140009965122,2.075,1.1852967130554957,2.1529717115544673,1301.4691094322072,3991.949239085998,0.0,17,14,0.0343796711509716,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False
neighbor_rebalance9,neighbor_rebalance9,2.075,0.97,0.6,9,0.04,-0.245,-0.18,1.0,7,True,False,8.805600860812492,0.5146522984748838,1.4624835159895693,2.583274431612714,-0.23785086881001805,2.1637604312724172,-0.19677890578645785,98056.00860812492,5.108890543333646,1.244735924265072,2.075,1.1839590148045296,2.1832328034071953,1347.0550528311085,4286.315947314079,0.0,15,14,0.0,0.24862979571499752,0.7513702042850025,0.0,4.505632913645212,0.3637218004052716,1.1390597025804314,1.9655364924437926,-0.2866771753445764,1.26875046807647,-0.25709736960845553,55056.32913645212,5.192188324404029,1.217954658694569,2.075,1.1745780773908645,2.1842393143411782,2334.942271340714,4910.445616200683,8823.674870774334,19,14,0.13801694070752366,0.24862979571499752,0.7513702042850025,0.0,3.1782979735880836,0.2969914469303576,0.9957575253351557,1.755223874488832,-0.37409165294590274,0.7939002236259611,-0.289455036852597,41782.979735880836,4.046952815649998,1.1718908819133034,2.075,1.1351258581224475,2.185388542323576,3260.9778730050202,5281.39460759011,14164.643289682284,24,11,0.24265072247135028,0.24862979571499752,0.7513702042850025,0.0,8.373012735604487,0.502274628528177,1.43688475048305,2.5388104042711177,-0.24919089470878775,2.0156219155404966,-0.2103773290733154,93730.12735604486,5.122089827737504,1.244200298953662,2.075,1.1816153050305653,2.1832328034071957,1302.0245365409546,4075.9365008564746,0.0,18,14,0.0343796711509716,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
neighbor_rebalance11,neighbor_rebalance11,2.075,0.97,0.6,11,0.04,-0.245,-0.18,1.0,7,True,False,7.361868649409708,0.47140861083944885,1.3748827005516886,2.415422314851277,-0.2527765477198357,1.864922260754718,-0.20384391930750256,83618.68649409707,5.162690424463295,1.243664673642252,2.075,1.1697736315115208,2.184937195394519,1268.0410709532025,3609.487382556279,0.0,18,14,0.0343796711509716,0.24862979571499752,0.7513702042850025,0.0,4.733412117658097,0.3738131051499505,1.1700357322400161,2.047489333051582,-0.29165421386112633,1.2816996545366042,-0.2622807941081424,57334.12117658097,4.78446026798592,1.2222396611858495,2.075,1.1660824704399073,2.1869554052661457,2362.282376968338,4927.728581299465,9223.254893202567,18,13,0.14000996512207275,0.24862979571499752,0.7513702042850025,0.0,2.5081822269897502,0.2564075410844733,0.8904549939863067,1.547353825929382,-0.36598087755681274,0.7006036566614606,-0.28945503685259755,35081.8222698975,4.497157870037688,1.1911733931240658,2.075,1.1507860465515072,2.189262597613041,3283.717353162578,5269.097881401014,13389.229216020736,26,12,0.2127553562531141,0.24862979571499752,0.7513702042850025,0.0,6.807395199801646,0.453162810575922,1.3332016359718535,2.334725406171027,-0.26400895979051664,1.7164675431299505,-0.21748704137038122,78073.95199801646,5.1850526284522225,1.2383084205281514,2.075,1.1710962190281509,2.1849371953945185,1203.0661475134282,3485.4595750546896,0.0,20,14,0.039860488290981565,0.24862979571499752,0.7513702042850025,0.0,False,False,False,True,True,True,True,True,False,True,True,True,True,False,False
neighbor_guard240,neighbor_guard240,2.075,0.97,0.6,10,0.04,-0.24,-0.18,1.0,7,True,False,8.483407210943097,0.5054770638530515,1.4597904254441398,2.596532917847271,-0.23679792568887836,2.134634677996219,-0.20245657086746538,94834.07210943097,5.119466224899777,1.244735924265072,2.075,1.1710069025308936,2.1529717115544655,1334.1167918036076,3913.8929243956,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,4.565568651671912,0.3664097695003523,1.16827382459776,2.0415452580507814,-0.30382106273463316,1.2060051604137336,-0.27495217334806776,55655.68651671912,4.397860268956891,1.1965296462381665,2.075,1.1529504594770648,2.166660343846815,1919.8344575944318,4275.698091902079,8664.095142889593,16,12,0.20079720976581963,0.24862979571499752,0.7513702042850025,0.0,3.168178701777734,0.2964196219347963,0.984563118725719,1.738096724029511,-0.33647008092978925,0.8809687361077724,-0.2900955804346066,41681.78701777734,4.439647570499553,1.200279023418037,2.075,1.1663878638298546,2.176121838728878,3521.703758478832,6180.337953177392,14771.454653401972,24,12,0.15146985550572994,0.24862979571499752,0.7513702042850025,0.0,8.338970380754155,0.5012808687988206,1.44714545854028,2.5719923481200095,-0.2482846633718191,2.0189763716823967,-0.21613504850515275,93389.70380754155,5.122802393722038,1.244200298953662,2.075,1.1773305454692207,2.1529717115544673,1309.3937604982455,3978.7474826305274,0.0,17,14,0.0343796711509716,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False
neighbor_guard250,neighbor_guard250,2.075,0.97,0.6,10,0.04,-0.25,-0.18,1.0,7,True,False,8.483407210943097,0.5054770638530515,1.4597904254441398,2.596532917847271,-0.23679792568887836,2.134634677996219,-0.20245657086746538,94834.07210943097,5.119466224899777,1.244735924265072,2.075,1.1710069025308936,2.1529717115544655,1334.1167918036076,3913.8929243956,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,5.310839675384191,0.39799826092509294,1.227936608624903,2.1650097990963104,-0.2915826292615754,1.3649587491991964,-0.2622062410650261,63108.39675384191,4.752967955875447,1.2222396611858495,2.075,1.171625405426327,2.166660343846815,2430.462496760965,5277.938554281875,9658.345814691813,17,13,0.1210762331838565,0.24862979571499752,0.7513702042850025,0.0,3.168178701777734,0.2964196219347963,0.984563118725719,1.738096724029511,-0.33647008092978925,0.8809687361077724,-0.2900955804346066,41681.78701777734,4.439647570499553,1.200279023418037,2.075,1.1663878638298546,2.176121838728878,3521.703758478832,6180.337953177392,14771.454653401972,24,12,0.1474838066766318,0.24862979571499752,0.7513702042850025,0.0,8.338970380754155,0.5012808687988206,1.44714545854028,2.5719923481200095,-0.2482846633718191,2.0189763716823967,-0.21613504850515275,93389.70380754155,5.122802393722038,1.2447359242650722,2.075,1.1773305454692207,2.1529717115544673,1309.3937604982455,3978.7474826305274,0.0,17,14,0.0,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
neighbor_recovery170,neighbor_recovery170,2.075,0.97,0.6,10,0.04,-0.245,-0.17,1.0,7,True,False,8.483407210943097,0.5054770638530515,1.4597904254441398,2.596532917847271,-0.23679792568887836,2.134634677996219,-0.20245657086746538,94834.07210943097,5.119466224899777,1.244735924265072,2.075,1.1710069025308936,2.1529717115544655,1334.1167918036076,3913.8929243956,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0,4.6634082127922,0.37074717602198315,1.177068265275362,2.0609495757116845,-0.2915826292615754,1.2714995298618772,-0.2622062410650261,56634.082127922,4.391842992163557,1.202421524663677,2.075,1.1582044269245075,2.1666603438468135,1940.5294876927385,4421.201146293035,8799.145728648456,16,12,0.17588440458395616,0.24862979571499752,0.7513702042850025,0.0,2.8506244711647066,0.27787017595406516,0.9434128444350725,1.6546827197689293,-0.33647008092978925,0.8258391806671451,-0.2900955804346066,38506.244711647065,4.4646179249798426,1.1938515196811161,2.075,1.1583381196811873,2.176121838728875,3385.1766563436718,5700.846132156614,14066.258893593287,24,12,0.15396113602391628,0.24862979571499752,0.7513702042850025,0.0,7.857632363694455,0.4869024690071413,1.4157448205385412,2.510267695374465,-0.2482846633718191,1.9610654254466766,-0.21613504850515275,88576.32363694455,5.140825780494178,1.2404509217737918,2.075,1.173646357325601,2.1529717115544678,1264.8937486687535,3786.661530391629,0.0,18,14,0.03736920777279522,0.24862979571499752,0.7513702042850025,0.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
