audit,period,total_return,cagr,sharpe,sortino,max_drawdown,calmar,worst_rolling_365,final_equity,annual_meta_turnover,average_target_leverage,maximum_target_leverage,average_close_gross,maximum_close_gross,transfer_cost,financing_cost,extra_underlying_cost,risk_reductions,scheduled_rebalances,guard_day_share,high_state_share,base_state_share,low_state_share
base,development_2021_2023,2.5908191628584305,0.5313149108630881,1.613931706819981,2.827827676978535,-0.23679792568887836,2.243748163407338,-0.20245657086746538,35908.1916285843,5.199576876499569,1.2586118721461186,2.075,1.185724211591764,2.121858097710872,389.98506917726525,1340.8144167477699,0.0,8,8,0.0,0.26118721461187216,0.7388127853881279,0.0
base,validation_2024,0.9988513206232994,0.9950725204914597,2.2616038257034377,5.045854509826277,-0.1510519646689965,6.587617199630498,0.19020996386632127,19988.513206232994,3.760236186281324,1.280969945355191,2.075,1.1967434017730836,2.1065198905641567,183.2728526108229,953.6120201864101,0.0,2,2,0.0,0.2814207650273224,0.7185792349726776,0.0
base,holdout_2025,0.2817749914344949,0.2817749914344949,0.8001413961823782,1.3329944140457586,-0.22121781662674633,1.2737445642089704,-0.0611027707400601,12817.74991434495,6.55070204945159,1.2424657534246577,2.075,1.1648224841923798,2.1529717115544655,553.7131037868323,1354.6600994870223,0.0,5,3,0.0,0.2465753424657534,0.7534246575342466,0.0
base,final_2026h1,0.030809897301597555,0.06310360055776498,0.6416151920033105,0.9774677440181482,-0.06033207020163234,1.0459379289798953,0.02745055648366379,10308.098973015976,4.497123433027793,1.0920994475138122,2.075,1.0424008282174297,2.0942745302897046,207.14576622868725,264.80638797439735,0.0,1,1,0.0,0.11049723756906077,0.8895027624309392,0.0
base,full,8.483407210943097,0.5054770638530515,1.4597904254441398,2.596532917847271,-0.23679792568887836,2.134634677996219,-0.20245657086746538,94834.07210943097,5.119466224899777,1.244735924265072,2.075,1.1710069025308936,2.1529717115544655,1334.1167918036076,3913.8929243956,0.0,16,14,0.0,0.24862979571499752,0.7513702042850025,0.0
severe,development_2021_2023,1.8093566793003362,0.41102798453334044,1.3521570437906134,2.3454574054142086,-0.2915826292615754,1.409644962644918,-0.2622062410650261,28093.566793003363,4.510899214703905,1.21737899543379,2.075,1.1741444016811602,2.1339785301804817,755.3389361895255,1895.4980078880276,3454.740464021982,8,7,0.1598173515981735,0.26118721461187216,0.7388127853881279,0.0
severe,validation_2024,0.8291040310075295,0.8260888658350993,1.9780304513734295,4.317094139699622,-0.18963842089133776,4.356126052686579,0.11858822988801676,18291.040310075296,3.8224087457942604,1.280969945355191,2.075,1.2128970255685458,2.1092411323352205,346.4150366679962,1294.6339340137274,1896.6019632266268,2,2,0.0,0.2814207650273224,0.7185792349726776,0.0
severe,holdout_2025,0.2222082048367695,0.2222082048367695,0.6845852938949109,1.1362481257065193,-0.23006042607730803,0.9658688746499152,-0.06915286850884628,12222.082048367694,6.544967141462642,1.2424657534246577,2.075,1.1797670980627066,2.166660343846815,978.447606634842,1746.4415992243596,2923.477363449427,6,3,0.0,0.2465753424657534,0.7534246575342466,0.0
severe,final_2026h1,0.022469216897195388,0.04582840260815191,0.5196245005692052,0.8466015824519069,-0.057810788352316345,0.7927309748633737,0.019160710399614755,10224.692168971955,0.0,0.973314917127072,1.0,0.9881213956391098,0.9985776670497716,0.0,0.0,1306.4204478922497,0,0,0.8895027624309392,0.11049723756906077,0.8895027624309392,0.0
severe,full,5.421562660755656,0.4024272799015174,1.2389616427323742,2.186193354814122,-0.2915826292615754,1.3801483336666964,-0.2622062410650261,64215.626607556565,4.348455031238335,1.211527154957648,2.075,1.1654575957162554,2.166660343846815,2080.2015794923636,4936.573541126115,9581.240238590284,16,12,0.16741405082212257,0.24862979571499752,0.7513702042850025,0.0
